robot,uid,site_id,family,method,repeat,frame,previous_q,target_position,target_rotation,q,failure_kind,position_error,orientation_error,velocity_utilization,demand,demand_met,native_return_code
panda,ea5503530085a4b7fba1457389f090742de31c9aa6ebe8907aa867289b032370,trajectory_12,near_singular,cr_ik_minimal_no_shortcut,1,90,"[0.8345015867582559,-0.13963321634410916,1.0800323379482104,-0.2756412886340538,1.6992430402524383,2.8350874952771865,1.9014900397872094]","[-0.08417975147686496,0.06541736850791917,1.1700763008550883]","[[-0.6485569930762491,-0.6136325561245768,-0.4503653103824852],[0.6855840531058383,-0.7279789522040755,0.00459905151391217],[-0.33067859449753534,-0.3057805278494273,0.8928325352098567]]","[0.8345015867582559,-0.13963321634410916,1.0800323379482104,-0.2756412886340538,1.6992430402524383,2.8350874952771865,1.9014900397872094]",position_tolerance+orientation_tolerance,0.006906503677409092,0.01549069045436438,0.0,0.32955855896198216,False,-3
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,cr_ik_minimal_fixed,0,113,"[-2.196612522999964,0.0428681173163417,2.4572406153937374,-0.5449877297731274,-2.8576065807920665,2.077701062003867,-1.7417105480158277]","[0.2101951828709031,0.021021791875536586,1.1614518861885486]","[[0.34178788900162776,0.8454662657569564,-0.4103264948779187],[-0.9067247437488449,0.1818961380037802,-0.3804786906686123],[-0.24704509306076639,0.5020961944152706,0.8287750801926298]]","[-2.196612522999964,0.0428681173163417,2.4572406153937374,-0.5449877297731274,-2.8576065807920665,2.077701062003867,-1.7417105480158277]",position_tolerance,0.0029177653633998993,0.0060211671199332135,0.0,4.489481000005857,False,-3
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,cr_ik_minimal_fixed,1,113,"[-2.151504947996418,0.05161390404388141,2.432651293992343,-0.5535610980044416,-2.879884158417031,2.077891329086984,-1.7429855901541578]","[0.2101951828709031,0.021021791875536586,1.1614518861885486]","[[0.34178788900162776,0.8454662657569564,-0.4103264948779187],[-0.9067247437488449,0.1818961380037802,-0.3804786906686123],[-0.24704509306076639,0.5020961944152706,0.8287750801926298]]","[-2.151504947996418,0.05161390404388141,2.432651293992343,-0.5535610980044416,-2.879884158417031,2.077891329086984,-1.7429855901541578]",position_tolerance,0.0028997508189694886,0.0049759888405888075,0.0,4.489481000005857,False,-3
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,cr_ik_minimal_fixed,2,115,"[-2.161076224389326,0.05075430548560177,2.4622753205476826,-0.5580927932823816,-2.8972984697405795,2.05957087140233,-1.7492149651953868]","[0.20861375575358249,0.026903607247617728,1.1614330491751486]","[[0.34229102437705455,0.8425791812818971,-0.41580906423650105],[-0.9074290555980031,0.18164137962248073,-0.3789180891239665],[-0.24374036121952192,0.507017487350456,0.8267550446374108]]","[-2.161076224389326,0.05075430548560177,2.4622753205476826,-0.5580927932823816,-2.8972984697405795,2.05957087140233,-1.7492149651953868]",position_tolerance,0.0030943232930581146,0.0030246725742333063,0.0,4.489481000005857,False,-3
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,cr_ik_minimal_no_shortcut,0,115,"[-2.149641267364279,0.05226649575763279,2.4557813284525696,-0.5589584764230876,-2.8972619316065003,2.0607690955265188,-1.751965452477706]","[0.20861375575358249,0.026903607247617728,1.1614330491751486]","[[0.34229102437705455,0.8425791812818971,-0.41580906423650105],[-0.9074290555980031,0.18164137962248073,-0.3789180891239665],[-0.24374036121952192,0.507017487350456,0.8267550446374108]]","[-2.149641267364279,0.05226649575763279,2.4557813284525696,-0.5589584764230876,-2.8972619316065003,2.0607690955265188,-1.751965452477706]",position_tolerance,0.0030412988478472807,0.005658402638216469,0.0,0.32955855896198216,False,-3
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,cr_ik_minimal_no_shortcut,1,114,"[-2.206554263417236,0.056495804987725017,2.5012279994586164,-0.5655993865683084,-2.8943559532240397,2.0677171989273817,-1.748676289857577]","[0.2093997000375418,0.023992813196638395,1.161449008205382]","[[0.34203163240143825,0.8440123545533905,-0.41310713840122565],[-0.9070865282734593,0.18175357540054604,-0.3796836420678684],[-0.24537398529919738,0.5045877358699475,0.8277577086007893]]","[-2.206554263417236,0.056495804987725017,2.5012279994586164,-0.5655993865683084,-2.8943559532240397,2.0677171989273817,-1.748676289857577]",position_tolerance,0.0028398895916271283,0.004656031961881866,0.0,0.32955855896198216,False,-3
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,cr_ik_minimal_no_shortcut,2,114,"[-2.10554903098516,0.051591513433870674,2.4033059273858726,-0.554371936425016,-2.892623256399703,2.0653228592625443,-1.7530343376798931]","[0.2093997000375418,0.023992813196638395,1.161449008205382]","[[0.34203163240143825,0.8440123545533905,-0.41310713840122565],[-0.9070865282734593,0.18175357540054604,-0.3796836420678684],[-0.24537398529919738,0.5045877358699475,0.8277577086007893]]","[-2.10554903098516,0.051591513433870674,2.4033059273858726,-0.554371936425016,-2.892623256399703,2.0653228592625443,-1.7530343376798931]",position_tolerance,0.0031938249660232306,0.0059542116652768345,0.0,0.32955855896198216,False,-3
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,cr_ik_minimal,0,114,"[-2.155065701036886,0.05655675432041779,2.456311153267955,-0.5641769122021201,-2.896140457394167,2.0619484422701153,-1.749093610541654]","[0.2093997000375418,0.023992813196638395,1.161449008205382]","[[0.34203163240143825,0.8440123545533905,-0.41310713840122565],[-0.9070865282734593,0.18175357540054604,-0.3796836420678684],[-0.24537398529919738,0.5045877358699475,0.8277577086007893]]","[-2.155065701036886,0.05655675432041779,2.456311153267955,-0.5641769122021201,-2.896140457394167,2.0619484422701153,-1.749093610541654]",position_tolerance,0.0032187713380620103,0.0046303297149320796,0.0,0.32955855896198216,False,-3
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,cr_ik_minimal,1,112,"[-2.1158634180884475,0.04463029198337697,2.3753727286785824,-0.5423009894572252,-2.8584483145407984,2.0818289475735816,-1.738862935640299]","[0.21099924818866234,0.017992557794831096,1.1614408546079218]","[[0.34156137241689644,0.8469392471770006,-0.40746747166361774],[-0.9063431108539755,0.18207095540760465,-0.3813034652406142],[-0.24875287793355155,0.4995438707343101,0.829805957397004]]","[-2.1158634180884475,0.04463029198337697,2.3753727286785824,-0.5423009894572252,-2.8584483145407984,2.0818289475735816,-1.738862935640299]",position_tolerance,0.0029927040883910767,0.006068914421117839,0.0,0.32955855896198216,False,-3
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,cr_ik_minimal,2,114,"[-2.2046041714089193,0.0507808394866524,2.489763047651404,-0.5582936290721355,-2.8804432383693195,2.0668745915461444,-1.744193185698942]","[0.2093997000375418,0.023992813196638395,1.161449008205382]","[[0.34203163240143825,0.8440123545533905,-0.41310713840122565],[-0.9070865282734593,0.18175357540054604,-0.3796836420678684],[-0.24537398529919738,0.5045877358699475,0.8277577086007893]]","[-2.2046041714089193,0.0507808394866524,2.489763047651404,-0.5582936290721355,-2.8804432383693195,2.0668745915461444,-1.744193185698942]",position_tolerance,0.0031203371957604915,0.0054873629805244194,0.0,0.32955855896198216,False,-3
