robot,method,uid,family,search_repeats,completion,deadline_completion,total_latency_ns,frame_success,acceleration_rms,accepted_near_tolerance_rate,optimization_call_rate,intervention_normalized_mean,unchanged_given_legal_backup
panda,trac_task_5ms,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,smooth,3,1.0,1.0,26398696.666666668,1.0,1.4316938158194443,0.0,,,
panda,trac_task_5ms,125d0ba81f8f99703f34ce79c430375e614edd8d7281141ad9df7e9828fed992,joint_limit_return,3,1.0,1.0,27475709.0,1.0,1.8612002739900957,0.0044444444444444444,,,
panda,trac_task_5ms,166f9f9c01b7bdb7e23bb78eb834aa40e45e3eac2d5c263419996286861ad9dc,joint_limit_return,3,1.0,1.0,28124715.333333332,1.0,1.1860466074923466,0.0,,,
panda,trac_task_5ms,16ab30a670ddc1bb59f64aa11421a7a95e2a13b391b17e7261a85fb14178c0bc,joint_limit_return,3,1.0,1.0,27498384.666666668,1.0,1.6592557235004646,0.0,,,
panda,trac_task_5ms,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,near_singular,3,1.0,1.0,26847473.0,1.0,2.3838451684494557,0.0,,,
panda,trac_task_5ms,380513eac133b886f7e375e39250059ba16f3133d3a5d3b8ff244470af2eb5ae,high_curvature,3,1.0,1.0,27141929.333333332,1.0,5.547129109565652,0.0,,,
panda,trac_task_5ms,40c3eae024871d71025c88c09b1bbffc1b50b311548d53112ed8d4118883654a,near_singular,3,1.0,1.0,26637790.0,1.0,2.5434854214302582,0.0,,,
panda,trac_task_5ms,41c501982d64297056fe7d1239938d5f0fb508b8c32ed74b2b5c72d3bf1ddba1,joint_limit_return,3,1.0,1.0,27653907.333333332,1.0,0.6805518438345494,0.0,,,
panda,trac_task_5ms,49e505b5dd8506da453322d27fabacda172e9baf611dd7b1ccac4b4220f68113,near_singular,3,1.0,1.0,28691629.0,1.0,2.2240506686798707,0.0,,,
panda,trac_task_5ms,4afc296390cd2da8318a4ba9544aebe6e73de828b20fea6cbaeedda3bf7a189f,joint_limit_return,3,1.0,1.0,26467001.666666668,1.0,1.5906369598438534,0.0,,,
panda,trac_task_5ms,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,near_singular,3,0.0,0.0,217816842.33333334,0.7555555555555555,8.296772626554095,0.0,,,
panda,trac_task_5ms,525ed23e41917cce27c978b0c676be43016f2541aa51a8185bbab7e6ce610192,near_singular,3,1.0,1.0,31006576.666666668,1.0,9.961742926908537,0.0,,,
panda,trac_task_5ms,5560810f9d87891ba612f00a19811ec608860538b5dbf8f478a2cc168f4d1547,joint_limit_return,3,1.0,1.0,27844505.666666668,1.0,0.7562521220509174,0.0,,,
