input_id,robot,repeat,accepted,status,q,e,position_normalized,orientation_normalized,category,point_objective,point_projected_gradient_inf,point_projected_gradient_scaled,actual_endpoint_kkt_active_constraints
016894bfe7220eb5304b71d9dc330e9a2a7872794dd09c7fb3f449f4be61911d,panda,2,False,stationary,"[-0.380856846714828,-0.1456240815058321,-0.7915184101817916,-1.7584102890493407,2.897299999999,1.9174127459789105,-0.8466715507098628]","[0.16811648058503992,-0.19850008702881894,0.018449938536613253,0.25759052573664687,-0.9669279886843164,-0.4364920609710726]",0.2607792856550412,1.091708721931429,orientation_fail,0.6299168846839539,2.1919846909801421e-07,3.1883252660242994e-08,"[{""joint"":2,""side"":""lower"",""kind"":""frame_displacement"",""gradient"":0.7165795159562962},{""joint"":4,""side"":""upper"",""kind"":""physical"",""gradient"":-5.875034722268002}]"
016894bfe7220eb5304b71d9dc330e9a2a7872794dd09c7fb3f449f4be61911d,panda,1,False,stationary,"[-0.380856846714828,-0.1456240815058321,-0.7915184101817916,-1.7584102890493407,2.897299999999,1.9174127459789105,-0.8466715507098628]","[0.16811648058503992,-0.19850008702881894,0.018449938536613253,0.25759052573664687,-0.9669279886843164,-0.4364920609710726]",0.2607792856550412,1.091708721931429,orientation_fail,0.6299168846839539,2.1919846909801421e-07,3.1883252660242994e-08,"[{""joint"":2,""side"":""lower"",""kind"":""frame_displacement"",""gradient"":0.7165795159562962},{""joint"":4,""side"":""upper"",""kind"":""physical"",""gradient"":-5.875034722268002}]"
016894bfe7220eb5304b71d9dc330e9a2a7872794dd09c7fb3f449f4be61911d,panda,0,False,stationary,"[-0.380856846714828,-0.1456240815058321,-0.7915184101817916,-1.7584102890493407,2.897299999999,1.9174127459789105,-0.8466715507098628]","[0.16811648058503992,-0.19850008702881894,0.018449938536613253,0.25759052573664687,-0.9669279886843164,-0.4364920609710726]",0.2607792856550412,1.091708721931429,orientation_fail,0.6299168846839539,2.1919846909801421e-07,3.1883252660242994e-08,"[{""joint"":2,""side"":""lower"",""kind"":""frame_displacement"",""gradient"":0.7165795159562962},{""joint"":4,""side"":""upper"",""kind"":""physical"",""gradient"":-5.875034722268002}]"
01b3d371907cb3f346fff18bae595c23d7574141a7c95d86ab1006bcd4e9fabe,panda,0,False,stationary,"[-0.7134905465921689,-0.03546657026635482,-1.3675165977778028,-1.626463497660127,0.9462252697295794,1.5227174452476717,-0.27479510581254984]","[-0.7028103142095177,-1.141072058946091,0.18610021936293908,0.7406293254448837,-0.2836254121063771,1.1945924264867935]",1.3530044616015449,1.433885015446169,both_fail,1.9433236553173736,7.69022729940616e-07,2.036330738609116e-07,"[{""joint"":1,""side"":""upper"",""kind"":""frame_displacement"",""gradient"":-2.776511916064701},{""joint"":2,""side"":""lower"",""kind"":""frame_displacement"",""gradient"":0.6254212372955914}]"
01b3d371907cb3f346fff18bae595c23d7574141a7c95d86ab1006bcd4e9fabe,panda,1,False,stationary,"[-0.7134905465921689,-0.03546657026635482,-1.3675165977778028,-1.626463497660127,0.9462252697295794,1.5227174452476717,-0.27479510581254984]","[-0.7028103142095177,-1.141072058946091,0.18610021936293908,0.7406293254448837,-0.2836254121063771,1.1945924264867935]",1.3530044616015449,1.433885015446169,both_fail,1.9433236553173736,7.69022729940616e-07,2.036330738609116e-07,"[{""joint"":1,""side"":""upper"",""kind"":""frame_displacement"",""gradient"":-2.776511916064701},{""joint"":2,""side"":""lower"",""kind"":""frame_displacement"",""gradient"":0.6254212372955914}]"
01b3d371907cb3f346fff18bae595c23d7574141a7c95d86ab1006bcd4e9fabe,panda,2,False,stationary,"[-0.7134905465921689,-0.03546657026635482,-1.3675165977778028,-1.626463497660127,0.9462252697295794,1.5227174452476717,-0.27479510581254984]","[-0.7028103142095177,-1.141072058946091,0.18610021936293908,0.7406293254448837,-0.2836254121063771,1.1945924264867935]",1.3530044616015449,1.433885015446169,both_fail,1.9433236553173736,7.69022729940616e-07,2.036330738609116e-07,"[{""joint"":1,""side"":""upper"",""kind"":""frame_displacement"",""gradient"":-2.776511916064701},{""joint"":2,""side"":""lower"",""kind"":""frame_displacement"",""gradient"":0.6254212372955914}]"
051833cbe006de8ff0b74c24491dc92760ae8fa05993116db6211ab7fa33682b,ur5e,1,False,stationary,"[-2.081781543171953,1.4367599611749244,0.09518575068795057,1.2052697705968753,0.6600789490530781,2.275703822476913]","[1.3228714312050194,-0.7416717645395698,-5.593538965342759e-07,0.15552196651205322,0.27739376314336683,0.7430941586603637]",1.516596792101964,0.8082841768423826,position_fail,1.4766945701738683,1.7479565306288691e-06,4.231646603441082e-07,"[{""joint"":0,""side"":""upper"",""kind"":""frame_displacement"",""gradient"":-3.1306770022039867}]"
051833cbe006de8ff0b74c24491dc92760ae8fa05993116db6211ab7fa33682b,ur5e,0,False,stationary,"[-2.081781543171953,1.4367599611749244,0.09518575068795057,1.2052697705968753,0.6600789490530781,2.275703822476913]","[1.3228714312050194,-0.7416717645395698,-5.593538965342759e-07,0.15552196651205322,0.27739376314336683,0.7430941586603637]",1.516596792101964,0.8082841768423826,position_fail,1.4766945701738683,1.7479565306288691e-06,4.231646603441082e-07,"[{""joint"":0,""side"":""upper"",""kind"":""frame_displacement"",""gradient"":-3.1306770022039867}]"
051833cbe006de8ff0b74c24491dc92760ae8fa05993116db6211ab7fa33682b,ur5e,2,False,stationary,"[-2.081781543171953,1.4367599611749244,0.09518575068795057,1.2052697705968753,0.6600789490530781,2.275703822476913]","[1.3228714312050194,-0.7416717645395698,-5.593538965342759e-07,0.15552196651205322,0.27739376314336683,0.7430941586603637]",1.516596792101964,0.8082841768423826,position_fail,1.4766945701738683,1.7479565306288691e-06,4.231646603441082e-07,"[{""joint"":0,""side"":""upper"",""kind"":""frame_displacement"",""gradient"":-3.1306770022039867}]"
09356f4513b62701731efafd2203596a897cfefe0acf13426c5f18d02b61686e,panda,1,False,stationary,"[-0.3913371128282916,-0.01507169795691949,-1.389043887558399,-1.612568094796776,0.4810949964210193,2.112028842321825,1.457065399380776]","[-0.3454098246040149,-1.2724675476990521,0.18955038437917793,0.5086715293830203,-0.517187014077131,0.5703048973034957]",1.3320701764916554,0.9227550098608135,position_fail,1.3129438816608698,1.9240663069464148e-06,5.684651826304837e-07,"[{""joint"":2,""side"":""lower"",""kind"":""frame_displacement"",""gradient"":0.26776881268517894},{""joint"":4,""side"":""upper"",""kind"":""frame_displacement"",""gradient"":-2.3846686934160135}]"
