frames,completion,deadline_completion,frame_success,frame_deadline_success,accepted_frames,deadline_frames,total_latency_ns,p50_ms,p95_ms,p99_ms,first_failure_frame,successful_prefix,first_failure_reason,failure_reasons,backup_rate,optimized_command_rate,changed_from_backup_rate,p95_position_m,max_position_m,p95_orientation_rad,max_orientation_rad,normalized_tolerance_p95,max_accepted_step_utilization,acceleration_rms,velocity_change_rms,accepted_contract_violations,robot,uid,site_id,family,method,repeat,run_id,raw_file
150,True,True,1.0,1.0,150,150,73214075,0.483981,0.51517035,0.55439109,,150,,{},0.0,0.0,0.0,7.014503290516268e-05,7.126879600466375e-05,0.0001286594181867514,0.00013237848317649043,0.07014503290516269,0.26038386998026275,0.6014510211571276,0.012029020423142552,0,panda,6b43e53a09d43b068012e38e4082dc1a83a7da4ac12d3b1a7c10621fab8498a4,trajectory_09,smooth,task_balance_k1,0,panda_trajectory_09_task_balance_k1_r0,runs/panda_trajectory_09_task_balance_k1_r0.jsonl.gz
150,True,True,1.0,1.0,150,150,39952858,0.264317,0.27590899999999996,0.30869618999999987,,150,,{},0.0,0.0,0.0,2.833503856918141e-05,2.8734592272182226e-05,6.229074121689738e-05,6.461704736462295e-05,0.02833503856918141,0.24742945839471345,0.6342139643864704,0.012684279287729406,0,panda,cdb906e5ffe0888b5856461ef6bee1b8809232e928fd853beb25f1903a7d798a,trajectory_07,smooth,single_gn_k0,0,panda_trajectory_07_single_gn_k0_r0,runs/panda_trajectory_07_single_gn_k0_r0.jsonl.gz
150,True,True,1.0,1.0,150,150,73320032,0.485248,0.50615265,0.5506404699999997,,150,,{},0.0,0.0,0.0,0.00011771257501168971,0.00012072272884281829,7.191275482454868e-05,7.471187652955652e-05,0.1177125750116897,0.34676643598917073,0.7200396927716549,0.0144007938554331,0,panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trajectory_02,smooth,task_balance_k1,0,panda_trajectory_02_task_balance_k1_r0,runs/panda_trajectory_02_task_balance_k1_r0.jsonl.gz
150,True,True,1.0,1.0,150,150,97567272,0.7596575,1.1087596499999999,1.1318473100000002,,150,,{},0.0,0.0,0.0,0.0009999990192532846,0.0009999995565657938,0.008726640512601422,0.008726645434852343,0.9999993413966367,0.7021740749100981,2.4504449142308826,0.049008898284617644,0,panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,task_excess_gn,0,panda_trajectory_14_task_excess_gn_r0,runs/panda_trajectory_14_task_excess_gn_r0.jsonl.gz
150,True,True,1.0,1.0,150,150,127770928,0.776926,1.11887875,1.1536846699999996,,150,,{},0.0,0.0,0.0,0.0009999994838234493,0.0009999999895251134,0.008726641512448428,0.008726646203178378,0.999999744171035,0.6731199346304877,6.4129594815601,0.128259189631202,0,panda,fd96ca4300b705b343cbde5bb7d97076acca0d187b1d78fc9094c6cac23b640b,trajectory_36,high_curvature,task_excess_gn,1,panda_trajectory_36_task_excess_gn_r1,runs/panda_trajectory_36_task_excess_gn_r1.jsonl.gz
150,True,True,1.0,1.0,150,150,74893802,0.495954,0.51289475,0.5510041799999997,,150,,{},0.0,0.0,0.0,0.00020220671500384047,0.0002517346079477919,0.0003462227587491854,0.0004891426330612536,0.20220671500384046,0.7151293296863597,6.552760851787692,0.13105521703575385,0,panda,827f4c481262ed599d5a62ea92d72f83f9d2baecaa5e733c4c0018e796d573d5,trajectory_38,high_curvature,task_balance_k1,1,panda_trajectory_38_task_balance_k1_r1,runs/panda_trajectory_38_task_balance_k1_r1.jsonl.gz
150,True,True,1.0,1.0,150,150,75018329,0.4961205,0.51018105,0.5506538599999998,,150,,{},0.0,0.0,0.0,0.0004151560795350363,0.0005343529730037777,0.00039297629305351615,0.0006497175770315772,0.4151560795350363,0.6458250342134708,6.420446661619359,0.1284089332323872,0,panda,bb2d7133de7083285ff7ede00b959e62fc3bf5dc626bfa521b77361d0f3f759e,trajectory_34,high_curvature,task_balance_k1,1,panda_trajectory_34_task_balance_k1_r1,runs/panda_trajectory_34_task_balance_k1_r1.jsonl.gz
150,True,True,1.0,1.0,150,150,74917342,0.4956435,0.5118223,0.5421357399999999,,150,,{},0.0,0.0,0.0,0.00011771257501168971,0.00012072272884281829,7.191275482454868e-05,7.471187652955652e-05,0.1177125750116897,0.34676643598917073,0.7200396927716549,0.0144007938554331,0,panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trajectory_02,smooth,task_balance_k1,2,panda_trajectory_02_task_balance_k1_r2,runs/panda_trajectory_02_task_balance_k1_r2.jsonl.gz
150,True,True,1.0,1.0,150,150,41245933,0.2692855,0.2834570999999999,0.45405168999999945,,150,,{},0.0,0.0,0.0,0.00014103761332008601,0.00014541775376407208,0.000284975732964073,0.0002903546259734081,0.14103761332008602,0.3974429727784824,0.7749956521491372,0.015499913042982745,0,panda,5560810f9d87891ba612f00a19811ec608860538b5dbf8f478a2cc168f4d1547,trajectory_20,joint_limit_return,single_gn_k0,2,panda_trajectory_20_single_gn_k0_r2,runs/panda_trajectory_20_single_gn_k0_r2.jsonl.gz
150,True,True,1.0,1.0,150,150,75289094,0.4968685,0.52029015,0.6472550199999986,,150,,{},0.0,0.0,0.0,9.616070858751168e-05,9.899923351978372e-05,0.00011907290825345492,0.00012328134972708682,0.09616070858751169,0.30679790536775003,0.6778726426008606,0.01355745285201721,0,panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trajectory_03,smooth,task_balance_k1,0,panda_trajectory_03_task_balance_k1_r0,runs/panda_trajectory_03_task_balance_k1_r0.jsonl.gz
