input_id,uid,site_id,family,method,repeat,frame,failure_kind,q,position_error,orientation_error,internal_status,source
777cecb834c2d2a97ee11f30726a9c1a3bfdbf129e98653491a9be48b524a07f,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,single_gn_k0,2,122,position_tolerance,"[-2.578625057562058,0.03536197734721825,2.897299999999,-0.5578130621809242,-2.897299999999,2.0328716416401473,-1.7683276689601262]",0.001315487164951526,0.004232269771441956,stationary,outputs/single_solver_development/reports/first_failure_inputs.csv
777cecb834c2d2a97ee11f30726a9c1a3bfdbf129e98653491a9be48b524a07f,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,single_gn_k0,1,122,position_tolerance,"[-2.578625057562058,0.03536197734721825,2.897299999999,-0.5578130621809242,-2.897299999999,2.0328716416401473,-1.7683276689601262]",0.001315487164951526,0.004232269771441956,stationary,outputs/single_solver_development/reports/first_failure_inputs.csv
777cecb834c2d2a97ee11f30726a9c1a3bfdbf129e98653491a9be48b524a07f,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,single_gn_k0,0,122,position_tolerance,"[-2.578625057562058,0.03536197734721825,2.897299999999,-0.5578130621809242,-2.897299999999,2.0328716416401473,-1.7683276689601262]",0.001315487164951526,0.004232269771441956,stationary,outputs/single_solver_development/reports/first_failure_inputs.csv
99d76050ae371288ad457fc997446305c1a6ea08b5db988906cc87e12168bd95,617dfe3c6044a249e2b35c9a35fdace22f1d096e467cd2c20a564e43995edf0f,trajectory_042,near_singular,single_gn_clip,1,91,position_tolerance,"[-1.9382406160825567,0.0750687516701895,0.6487234102061137,-0.5067575827757537,2.897299999999,2.38539889817484,1.6662619430858108]",0.001037936025745475,0.0038882288070868597,iteration_limit,outputs/single_solver_evidence/reports/first_failure_inputs.csv
016894bfe7220eb5304b71d9dc330e9a2a7872794dd09c7fb3f449f4be61911d,c2ebae0d24e306f3744e9ac2a38add8502705448e7eda234f19e3082f56fa52c,trajectory_094,joint_limit_return,single_gn_k0,2,53,orientation_tolerance,"[-0.380856846714828,-0.1456240815058321,-0.7915184101817916,-1.7584102890493407,2.897299999999,1.9174127459789105,-0.8466715507098628]",0.00026077928565498756,0.00952695583525228,stationary,outputs/single_solver_evidence/reports/first_failure_inputs.csv
9d80e946830f388536d3b0fcb43de10b356b07a1aeaa394a31029c39060ef30a,c2ebae0d24e306f3744e9ac2a38add8502705448e7eda234f19e3082f56fa52c,trajectory_094,joint_limit_return,single_gn_clip,2,52,orientation_tolerance,"[-0.4625990931706785,-0.13006525267907013,-0.7091992320378985,-1.7566360735397393,2.897299999999,1.9069085012313347,-0.846803065813851]",0.0009204036397632918,0.012794009457459211,iteration_limit,outputs/single_solver_evidence/reports/first_failure_inputs.csv
8cf5b09c2aa354206fc25bce07f8ae45d95624abf37fb6bc2c6205e2350c43bd,16eb39236436e36522bf1742998d048f374e3572a63c53e2c2e5ca5d926ace93,trajectory_104,joint_limit_return,single_gn_osqp,0,126,position_tolerance,"[1.7369974990333756,-0.33027562337553645,1.5883701955857032,-1.4259883753637566,0.36037274109694317,2.008843265746734,1.093576370263971]",0.0010609369206662402,0.006718837374433043,iteration_limit,outputs/single_solver_evidence/reports/first_failure_inputs.csv
99d76050ae371288ad457fc997446305c1a6ea08b5db988906cc87e12168bd95,617dfe3c6044a249e2b35c9a35fdace22f1d096e467cd2c20a564e43995edf0f,trajectory_042,near_singular,single_gn_clip,0,91,position_tolerance,"[-1.9382406160825567,0.0750687516701895,0.6487234102061137,-0.5067575827757537,2.897299999999,2.38539889817484,1.6662619430858108]",0.001037936025745475,0.0038882288070868597,iteration_limit,outputs/single_solver_evidence/reports/first_failure_inputs.csv
9d80e946830f388536d3b0fcb43de10b356b07a1aeaa394a31029c39060ef30a,c2ebae0d24e306f3744e9ac2a38add8502705448e7eda234f19e3082f56fa52c,trajectory_094,joint_limit_return,single_gn_clip,1,52,orientation_tolerance,"[-0.4625990931706785,-0.13006525267907013,-0.7091992320378985,-1.7566360735397393,2.897299999999,1.9069085012313347,-0.846803065813851]",0.0009204036397632918,0.012794009457459211,iteration_limit,outputs/single_solver_evidence/reports/first_failure_inputs.csv
4481318d5ddc42ad85a73ca7db0930f598865b9f9facc5c5befea12352f1e43b,4f1940d91117f91ea27fc47a289476bf2361c47cbbb34e21aa92e2a9bf8c25da,trajectory_120,high_curvature,single_gn_k1,1,53,position_tolerance,"[-0.39133749873986134,-0.015071474495616842,-1.3890438875592057,-1.6125676508272195,0.4810949964205539,2.1120270656260876,1.4570620592028214]",0.0013321462502991024,0.008051598942527691,stationary,outputs/single_solver_evidence/reports/first_failure_inputs.csv
