robot,method,uid,family,search_repeats,completion,deadline_completion,total_latency_ns,frame_success,acceleration_rms,intervention_normalized_mean,optimization_call_rate,partial_correction_rate,effective_command_adjustment_rate,normalized_shortfall_reduction_mean,successful_prefix,frame_deadline_success
panda,cr_ik_elastic_mu025,01ca7a090550753e75668b98421b47b50bc8fafb46c8161ebbff7bc759500ccc,smooth,3,1.0,1.0,187925327.66666666,1.0,2.8224597321556733,0.0004887041126929345,0.20000000000000004,0.0,0.0033333333333333335,0.0,300.0,1.0
panda,cr_ik_elastic_mu025,020cecde743907024f6fe1664ce378bc1922a869d74c2236737c0c776c80db3f,joint_limit_return,3,0.0,0.0,1624870686.3333333,0.13,3.1648097902325745,0.01835437078700061,0.98,0.0,0.01,0.0,39.0,0.13
panda,cr_ik_elastic_mu025,059722acd40185cc619cfcd9c098553c60874e0faf5853d4887b4041f6ac69c0,joint_limit_return,3,1.0,1.0,241893598.0,1.0,5.621933002366203,0.004479816903648926,0.8033333333333333,0.0,0.01,0.0,300.0,1.0
panda,cr_ik_elastic_mu025,065bd3f9c569fc61ffcee42b364885a7a33f00cbe0bffd83788d9d78d1ddc985,high_curvature,3,1.0,1.0,206646614.33333334,1.0,8.389914607877325,0.00015925194882223295,0.34,0.0,0.0033333333333333335,0.0,300.0,1.0
panda,cr_ik_elastic_mu025,090ebcbbfdc2cf2943e003099e72ddb1c565e09c3fc51ba8e7356f5fe5088aa0,smooth,3,1.0,1.0,209728208.66666666,1.0,1.7043209573231863,0.0009855507872429334,0.23222222222222222,0.07777777777777778,0.07888888888888888,0.04235359784071005,300.0,1.0
panda,cr_ik_elastic_mu025,09934560516da0f3bbe8545deca9f7ed7c73d8de25438bf1e75ca255cd60f90d,joint_limit_return,3,0.0,0.0,770788413.6666666,0.6988888888888889,5.289527796840972,0.016928856091797048,0.6633333333333333,0.07555555555555556,0.0988888888888889,0.0808647963332317,209.66666666666666,0.6988888888888889
panda,cr_ik_elastic_mu025,09e2beccf623d83b818dd36dc03beef6e02042da0c0e4049e1fd47905f128b17,smooth,3,1.0,1.0,194649555.33333334,1.0,3.419725000642657,0.000943407165572751,0.29555555555555557,0.0,0.006666666666666667,0.0,300.0,1.0
panda,cr_ik_elastic_mu025,0df9c044a0bae360c1d803593b642faa1b351b24eabbf03d27ca89d9f363671a,high_curvature,3,1.0,0.6666666666666666,291980128.3333333,1.0,12.839933997912413,0.002659076592926845,0.6522222222222221,0.0,0.07222222222222223,0.0,300.0,0.9988888888888888
panda,cr_ik_elastic_mu025,0f9140f6ab6493321f519096ce8d28c966f12304e9c6480e3dd295d8b37c2730,smooth,3,0.0,0.0,907098373.3333334,0.58,4.8537189560186045,0.00291240789500501,0.5888888888888889,0.0,0.0033333333333333335,0.0,174.0,0.58
panda,cr_ik_elastic_mu025,12365ded82d5776896c0aaa6860530471800b8d3550960e5211183f96bac0058,near_singular,3,0.0,0.0,863083745.0,0.6411111111111111,7.028104849806671,0.03175990126781108,0.7755555555555556,0.1688888888888889,0.20444444444444443,0.042130023275390005,112.66666666666667,0.6411111111111111
panda,cr_ik_elastic_mu025,1347163f63135c7e7c6ff8c4726da35daf22856d79af6ff0a8453ba578f81aec,joint_limit_return,3,1.0,0.6666666666666666,235224395.66666666,1.0,2.652548773814964,0.0011716512093894315,0.5,0.0,0.0033333333333333335,0.0,300.0,0.9988888888888888
panda,cr_ik_elastic_mu025,13fbac2c77001acafad2ab940a4739fd1f0306c5475e9626e8d444ca21b24410,joint_limit_return,3,0.3333333333333333,0.3333333333333333,784858556.0,0.7322222222222222,17.206607232962536,0.016774965139302964,0.9166666666666666,0.0,0.02888888888888889,0.0,197.33333333333334,0.7322222222222222
panda,cr_ik_elastic_mu025,15d9874ccdad195f03ffc88a38d389dea5e47b056c64a791a2587bc55cb42b11,joint_limit_return,3,1.0,1.0,237050064.33333334,1.0,4.175513972384019,0.0057934308458254214,0.4366666666666667,0.0,0.05777777777777778,0.0,300.0,1.0
panda,cr_ik_elastic_mu025,17d4c95c8e2682b79ce2a3276de6fa262a1226633d09866de42f7131075fe6b0,joint_limit_return,3,0.0,0.0,1250679675.0,0.36666666666666664,4.468678721663347,0.008640863842397187,0.8322222222222222,0.07333333333333333,0.08333333333333333,0.10853828443177195,110.0,0.36666666666666664
panda,cr_ik_elastic_mu025,1963d66d56ea9cf7549e39c49cc94b70c0b74ae497b493707e0343ccda8d121c,joint_limit_return,3,1.0,1.0,206202886.33333334,1.0,4.197310255953943,0.0008951189856418925,0.3322222222222222,0.0,0.0033333333333333335,0.0,300.0,1.0
panda,cr_ik_elastic_mu025,1e85678ad83e7cbf6ff6312b102dad678b85905e267257ed723fd965f0fd79b6,smooth,3,1.0,1.0,179340323.66666666,1.0,2.469424740066406,5.1281736860000946e-05,0.06666666666666667,0.0,0.0033333333333333335,0.0,300.0,1.0
panda,cr_ik_elastic_mu025,208bc51cb2482dc7b34e88819421298eb5bb43d57b2f005b02ad15b24943641f,high_curvature,3,1.0,1.0,205247939.33333334,1.0,9.810423305092648,0.00027676214499201026,0.37666666666666665,0.0,0.0033333333333333335,0.0,300.0,1.0
panda,cr_ik_elastic_mu025,2321b4805303976bef6990c5c19d6504e8005a47837c84604e0cffa7e9724918,near_singular,3,0.6666666666666666,0.6666666666666666,385660546.0,0.9988888888888888,13.664224637280691,0.05005309773193598,0.5744444444444444,0.0,0.13555555555555557,0.0,285.3333333333333,0.9988888888888888
panda,cr_ik_elastic_mu025,24d24d6ead4e0958147fb64b95a551a3d3e8c71b1da4bf59e85680dfd16314a6,high_curvature,3,1.0,1.0,248940843.66666666,1.0,13.021223360609596,0.003238822654556136,0.6711111111111112,0.0,0.05000000000000001,0.0,300.0,1.0
panda,cr_ik_elastic_mu025,2743b60c9d517fc19248ed57feb1c66e95480be1d5193156ab18e2557e734a87,near_singular,3,0.3333333333333333,0.3333333333333333,621534988.6666666,0.7888888888888889,8.919753141613862,0.04162492499745812,0.6522222222222221,0.0,0.09444444444444444,0.0,168.0,0.7888888888888889
panda,cr_ik_elastic_mu025,275f4b98fa6647cb6004435f32d88d7c18d9d09fff38ed2c30f96ffddbb3438d,joint_limit_return,3,1.0,1.0,245733450.33333334,1.0,2.69853609810836,0.0032436672065853174,0.5122222222222222,0.1311111111111111,0.15444444444444444,0.038613288843954284,300.0,1.0
panda,cr_ik_elastic_mu025,2aa59947781f5e9fab972f984b9a307436279781a4aaeee82c85ef60af8574dc,joint_limit_return,3,0.0,0.0,1284796622.3333333,0.34,3.6600352838222094,0.009343005223783129,0.7766666666666667,0.0,0.02,0.0,102.0,0.34
panda,cr_ik_elastic_mu025,2d630550f2ca45175c9a55b0e6790dbfa692abd926fd88e5681179d547ca02b9,smooth,3,1.0,1.0,189212261.66666666,1.0,2.636318221717511,0.0009985381471780718,0.1111111111111111,0.035555555555555556,0.03888888888888888,0.003473622808800136,300.0,1.0
panda,cr_ik_elastic_mu025,30f82d1f3d6e14e52a65ff421811917f3d2ce71531f99236c63b8f9716e4f4f7,near_singular,3,1.0,0.6666666666666666,254378930.0,1.0,5.098429068030905,0.015191443373983706,0.5033333333333333,0.0,0.03333333333333333,0.0,300.0,0.9988888888888888
panda,cr_ik_elastic_mu025,321f6d38e35e5c221426fb1d9f955d035893421993d50b18faa07b6cde0e3b8b,smooth,3,1.0,0.6666666666666666,228169117.66666666,1.0,2.6845258794031746,0.0007878624840044083,0.41,0.0,0.006666666666666667,0.0,300.0,0.9988888888888888
panda,cr_ik_elastic_mu025,32370da0f17eef839e5824e94a8495750fed02936589fc9dcf90525917de6f08,high_curvature,3,1.0,1.0,212853560.66666666,1.0,7.070937580341205,0.0,0.5433333333333333,0.0,0.0,0.0,300.0,1.0
panda,cr_ik_elastic_mu025,352e7641986f7cb89593bf2c33680b63da4e1eb9f2147b07b71bf801ee406d37,joint_limit_return,3,1.0,1.0,308529482.0,1.0,7.8272514134831255,0.02109803504557269,0.7344444444444443,0.0,0.08222222222222221,0.0,300.0,1.0
panda,cr_ik_elastic_mu025,366095c67af368381351cc77cd85a4586b24d4c71f24773535e5208b94b285ec,smooth,3,0.0,0.0,1108844699.3333333,0.45777777777777784,7.108880520760418,0.014168250764564119,0.85,0.0,0.03333333333333333,0.0,135.0,0.45777777777777784
panda,cr_ik_elastic_mu025,37a55e72daff86890ee691448e40cf67efa9fb53a80de4f56fce7da43e2a9f54,near_singular,3,0.3333333333333333,0.3333333333333333,408430015.3333333,0.9377777777777778,10.714507174767746,0.025986257008095343,0.47444444444444445,0.09777777777777778,0.14888888888888888,0.0068624757447184916,190.0,0.9377777777777778
