uid,method,robot,anchor_uid,anchor_family,displacement,alpha,accepted,timely,latency_ns,success_by_repeat,split
02dc306ba4b148a52ed3cec782154de095f1488922819a8792f02cb67cd06f50,clarabel,panda,6540670baac25b39cfa7ecf5f04b9d750d33c7adf7238139b66acbd66217b5ba,near_limit,multijoint_boundary,0.5,1.0,1.0,828305.3333333334,"[true,true,true]",development
02dc306ba4b148a52ed3cec782154de095f1488922819a8792f02cb67cd06f50,gn,panda,6540670baac25b39cfa7ecf5f04b9d750d33c7adf7238139b66acbd66217b5ba,near_limit,multijoint_boundary,0.5,1.0,1.0,536808.0,"[true,true,true]",development
02dc306ba4b148a52ed3cec782154de095f1488922819a8792f02cb67cd06f50,relative,panda,6540670baac25b39cfa7ecf5f04b9d750d33c7adf7238139b66acbd66217b5ba,near_limit,multijoint_boundary,0.5,1.0,1.0,565363.0,"[true,true,true]",development
02dc306ba4b148a52ed3cec782154de095f1488922819a8792f02cb67cd06f50,tight,panda,6540670baac25b39cfa7ecf5f04b9d750d33c7adf7238139b66acbd66217b5ba,near_limit,multijoint_boundary,0.5,1.0,1.0,2456982.3333333335,"[true,true,true]",development
02dc306ba4b148a52ed3cec782154de095f1488922819a8792f02cb67cd06f50,trac_task_20ms,panda,6540670baac25b39cfa7ecf5f04b9d750d33c7adf7238139b66acbd66217b5ba,near_limit,multijoint_boundary,0.5,1.0,1.0,260519.33333333334,"[true,true,true]",development
02dc306ba4b148a52ed3cec782154de095f1488922819a8792f02cb67cd06f50,trac_task_5ms,panda,6540670baac25b39cfa7ecf5f04b9d750d33c7adf7238139b66acbd66217b5ba,near_limit,multijoint_boundary,0.5,1.0,1.0,236902.66666666666,"[true,true,true]",development
02dc306ba4b148a52ed3cec782154de095f1488922819a8792f02cb67cd06f50,weight_0.2,panda,6540670baac25b39cfa7ecf5f04b9d750d33c7adf7238139b66acbd66217b5ba,near_limit,multijoint_boundary,0.5,1.0,1.0,590983.6666666666,"[true,true,true]",development
02dc306ba4b148a52ed3cec782154de095f1488922819a8792f02cb67cd06f50,weight_0.35,panda,6540670baac25b39cfa7ecf5f04b9d750d33c7adf7238139b66acbd66217b5ba,near_limit,multijoint_boundary,0.5,1.0,1.0,597638.6666666666,"[true,true,true]",development
02dc306ba4b148a52ed3cec782154de095f1488922819a8792f02cb67cd06f50,weight_0.5,panda,6540670baac25b39cfa7ecf5f04b9d750d33c7adf7238139b66acbd66217b5ba,near_limit,multijoint_boundary,0.5,1.0,1.0,569705.3333333334,"[true,true,true]",development
02dc306ba4b148a52ed3cec782154de095f1488922819a8792f02cb67cd06f50,weight_0.65,panda,6540670baac25b39cfa7ecf5f04b9d750d33c7adf7238139b66acbd66217b5ba,near_limit,multijoint_boundary,0.5,1.0,1.0,570319.0,"[true,true,true]",development
02dc306ba4b148a52ed3cec782154de095f1488922819a8792f02cb67cd06f50,weight_0.8,panda,6540670baac25b39cfa7ecf5f04b9d750d33c7adf7238139b66acbd66217b5ba,near_limit,multijoint_boundary,0.5,1.0,1.0,545572.0,"[true,true,true]",development
02e3c7eaad6979b926033773c2b5d2afdb27f1e4180edc148903f2557ffd5090,clarabel,panda,d320733af1cea108106e6af92c1f9a938adca5d8a95675fb0b3780c450b0b9b7,near_singular,regular,0.5,1.0,1.0,290378.3333333333,"[true,true,true]",development
02e3c7eaad6979b926033773c2b5d2afdb27f1e4180edc148903f2557ffd5090,gn,panda,d320733af1cea108106e6af92c1f9a938adca5d8a95675fb0b3780c450b0b9b7,near_singular,regular,0.5,1.0,1.0,324669.0,"[true,true,true]",development
02e3c7eaad6979b926033773c2b5d2afdb27f1e4180edc148903f2557ffd5090,relative,panda,d320733af1cea108106e6af92c1f9a938adca5d8a95675fb0b3780c450b0b9b7,near_singular,regular,0.5,1.0,1.0,291579.6666666667,"[true,true,true]",development
02e3c7eaad6979b926033773c2b5d2afdb27f1e4180edc148903f2557ffd5090,tight,panda,d320733af1cea108106e6af92c1f9a938adca5d8a95675fb0b3780c450b0b9b7,near_singular,regular,0.5,1.0,1.0,304008.6666666667,"[true,true,true]",development
02e3c7eaad6979b926033773c2b5d2afdb27f1e4180edc148903f2557ffd5090,trac_task_20ms,panda,d320733af1cea108106e6af92c1f9a938adca5d8a95675fb0b3780c450b0b9b7,near_singular,regular,0.5,1.0,1.0,3951989.3333333335,"[true,true,true]",development
02e3c7eaad6979b926033773c2b5d2afdb27f1e4180edc148903f2557ffd5090,trac_task_5ms,panda,d320733af1cea108106e6af92c1f9a938adca5d8a95675fb0b3780c450b0b9b7,near_singular,regular,0.5,1.0,1.0,3501368.0,"[true,true,true]",development
02e3c7eaad6979b926033773c2b5d2afdb27f1e4180edc148903f2557ffd5090,weight_0.2,panda,d320733af1cea108106e6af92c1f9a938adca5d8a95675fb0b3780c450b0b9b7,near_singular,regular,0.5,1.0,1.0,328649.6666666667,"[true,true,true]",development
02e3c7eaad6979b926033773c2b5d2afdb27f1e4180edc148903f2557ffd5090,weight_0.35,panda,d320733af1cea108106e6af92c1f9a938adca5d8a95675fb0b3780c450b0b9b7,near_singular,regular,0.5,1.0,1.0,329258.6666666667,"[true,true,true]",development
02e3c7eaad6979b926033773c2b5d2afdb27f1e4180edc148903f2557ffd5090,weight_0.5,panda,d320733af1cea108106e6af92c1f9a938adca5d8a95675fb0b3780c450b0b9b7,near_singular,regular,0.5,1.0,1.0,323473.3333333333,"[true,true,true]",development
02e3c7eaad6979b926033773c2b5d2afdb27f1e4180edc148903f2557ffd5090,weight_0.65,panda,d320733af1cea108106e6af92c1f9a938adca5d8a95675fb0b3780c450b0b9b7,near_singular,regular,0.5,1.0,1.0,339375.6666666667,"[true,true,true]",development
02e3c7eaad6979b926033773c2b5d2afdb27f1e4180edc148903f2557ffd5090,weight_0.8,panda,d320733af1cea108106e6af92c1f9a938adca5d8a95675fb0b3780c450b0b9b7,near_singular,regular,0.5,1.0,1.0,330415.3333333333,"[true,true,true]",development
02f9654b9cd176c681e91c816b4606b088f72388b6df5e0a78297551d2a48b00,clarabel,panda,f9734ef193dd200be2199c32f4933694d3e4b0026d83fc6fa51e5dabf0b7bfdc,ordinary,high_utilization,0.0,1.0,1.0,311305.0,"[true,true,true]",development
02f9654b9cd176c681e91c816b4606b088f72388b6df5e0a78297551d2a48b00,gn,panda,f9734ef193dd200be2199c32f4933694d3e4b0026d83fc6fa51e5dabf0b7bfdc,ordinary,high_utilization,0.0,1.0,1.0,323015.3333333333,"[true,true,true]",development
02f9654b9cd176c681e91c816b4606b088f72388b6df5e0a78297551d2a48b00,relative,panda,f9734ef193dd200be2199c32f4933694d3e4b0026d83fc6fa51e5dabf0b7bfdc,ordinary,high_utilization,0.0,1.0,1.0,315409.3333333333,"[true,true,true]",development
02f9654b9cd176c681e91c816b4606b088f72388b6df5e0a78297551d2a48b00,tight,panda,f9734ef193dd200be2199c32f4933694d3e4b0026d83fc6fa51e5dabf0b7bfdc,ordinary,high_utilization,0.0,1.0,1.0,323907.6666666667,"[true,true,true]",development
02f9654b9cd176c681e91c816b4606b088f72388b6df5e0a78297551d2a48b00,trac_task_20ms,panda,f9734ef193dd200be2199c32f4933694d3e4b0026d83fc6fa51e5dabf0b7bfdc,ordinary,high_utilization,0.0,1.0,1.0,234414.66666666666,"[true,true,true]",development
02f9654b9cd176c681e91c816b4606b088f72388b6df5e0a78297551d2a48b00,trac_task_5ms,panda,f9734ef193dd200be2199c32f4933694d3e4b0026d83fc6fa51e5dabf0b7bfdc,ordinary,high_utilization,0.0,1.0,1.0,259981.66666666666,"[true,true,true]",development
02f9654b9cd176c681e91c816b4606b088f72388b6df5e0a78297551d2a48b00,weight_0.2,panda,f9734ef193dd200be2199c32f4933694d3e4b0026d83fc6fa51e5dabf0b7bfdc,ordinary,high_utilization,0.0,1.0,1.0,359726.0,"[true,true,true]",development
02f9654b9cd176c681e91c816b4606b088f72388b6df5e0a78297551d2a48b00,weight_0.35,panda,f9734ef193dd200be2199c32f4933694d3e4b0026d83fc6fa51e5dabf0b7bfdc,ordinary,high_utilization,0.0,1.0,1.0,336570.0,"[true,true,true]",development
02f9654b9cd176c681e91c816b4606b088f72388b6df5e0a78297551d2a48b00,weight_0.5,panda,f9734ef193dd200be2199c32f4933694d3e4b0026d83fc6fa51e5dabf0b7bfdc,ordinary,high_utilization,0.0,1.0,1.0,328965.0,"[true,true,true]",development
02f9654b9cd176c681e91c816b4606b088f72388b6df5e0a78297551d2a48b00,weight_0.65,panda,f9734ef193dd200be2199c32f4933694d3e4b0026d83fc6fa51e5dabf0b7bfdc,ordinary,high_utilization,0.0,1.0,1.0,341707.6666666667,"[true,true,true]",development
02f9654b9cd176c681e91c816b4606b088f72388b6df5e0a78297551d2a48b00,weight_0.8,panda,f9734ef193dd200be2199c32f4933694d3e4b0026d83fc6fa51e5dabf0b7bfdc,ordinary,high_utilization,0.0,1.0,1.0,355276.6666666667,"[true,true,true]",development
036233493dd6e40d76e60d0ec969d58cf83219258f0acab282e786b28a9d0a73,clarabel,panda,02aa575800827e0631698ef6a344c7e5d81c6a856c469d6047ee9061de329cf8,near_limit,high_utilization,0.95,1.0,1.0,755120.6666666666,"[true,true,true]",development
036233493dd6e40d76e60d0ec969d58cf83219258f0acab282e786b28a9d0a73,gn,panda,02aa575800827e0631698ef6a344c7e5d81c6a856c469d6047ee9061de329cf8,near_limit,high_utilization,0.95,1.0,1.0,528087.3333333334,"[true,true,true]",development
036233493dd6e40d76e60d0ec969d58cf83219258f0acab282e786b28a9d0a73,relative,panda,02aa575800827e0631698ef6a344c7e5d81c6a856c469d6047ee9061de329cf8,near_limit,high_utilization,0.95,1.0,1.0,532130.3333333334,"[true,true,true]",development
036233493dd6e40d76e60d0ec969d58cf83219258f0acab282e786b28a9d0a73,tight,panda,02aa575800827e0631698ef6a344c7e5d81c6a856c469d6047ee9061de329cf8,near_limit,high_utilization,0.95,1.0,1.0,2851303.6666666665,"[true,true,true]",development
036233493dd6e40d76e60d0ec969d58cf83219258f0acab282e786b28a9d0a73,trac_task_20ms,panda,02aa575800827e0631698ef6a344c7e5d81c6a856c469d6047ee9061de329cf8,near_limit,high_utilization,0.95,1.0,1.0,246297.33333333334,"[true,true,true]",development
036233493dd6e40d76e60d0ec969d58cf83219258f0acab282e786b28a9d0a73,trac_task_5ms,panda,02aa575800827e0631698ef6a344c7e5d81c6a856c469d6047ee9061de329cf8,near_limit,high_utilization,0.95,1.0,1.0,233540.33333333334,"[true,true,true]",development
036233493dd6e40d76e60d0ec969d58cf83219258f0acab282e786b28a9d0a73,weight_0.2,panda,02aa575800827e0631698ef6a344c7e5d81c6a856c469d6047ee9061de329cf8,near_limit,high_utilization,0.95,1.0,1.0,565627.6666666666,"[true,true,true]",development
