robot,method,uid,repeat,abruptness_level,completion,deadline_completion,frame_success,cumulative_ms
panda,cr_ik,0f6a0c79afed4b21be7ee2d431001f7fb484154f17b756f5d1b747c684f059d5,0,3,True,True,1.0,1719.036576
panda,pink_qp,0f6a0c79afed4b21be7ee2d431001f7fb484154f17b756f5d1b747c684f059d5,0,3,False,False,0.9566666666666667,279.882127
panda,ranged_ik_positive_range,0f6a0c79afed4b21be7ee2d431001f7fb484154f17b756f5d1b747c684f059d5,0,3,False,False,0.006666666666666667,80.491594
panda,ranged_ik_upstream,0f6a0c79afed4b21be7ee2d431001f7fb484154f17b756f5d1b747c684f059d5,0,3,False,False,0.006666666666666667,101.926276
panda,single_step_reserve,0f6a0c79afed4b21be7ee2d431001f7fb484154f17b756f5d1b747c684f059d5,0,3,False,False,0.81,1392.322539
panda,trac_task_20ms,0f6a0c79afed4b21be7ee2d431001f7fb484154f17b756f5d1b747c684f059d5,0,3,False,False,0.5366666666666666,2848.96374
panda,trac_task_5ms,0f6a0c79afed4b21be7ee2d431001f7fb484154f17b756f5d1b747c684f059d5,0,3,False,False,0.94,145.706561
panda,two_step_predictive,0f6a0c79afed4b21be7ee2d431001f7fb484154f17b756f5d1b747c684f059d5,0,3,True,True,1.0,1135.889322
panda,two_step_sigma,0f6a0c79afed4b21be7ee2d431001f7fb484154f17b756f5d1b747c684f059d5,0,3,True,True,1.0,1783.431171
panda,cr_ik,0f6a0c79afed4b21be7ee2d431001f7fb484154f17b756f5d1b747c684f059d5,1,3,True,True,1.0,1704.874904
panda,single_step_reserve,0f6a0c79afed4b21be7ee2d431001f7fb484154f17b756f5d1b747c684f059d5,1,3,False,False,0.6633333333333333,1481.617165
panda,trac_task_20ms,0f6a0c79afed4b21be7ee2d431001f7fb484154f17b756f5d1b747c684f059d5,1,3,False,False,0.53,2897.891369
panda,trac_task_5ms,0f6a0c79afed4b21be7ee2d431001f7fb484154f17b756f5d1b747c684f059d5,1,3,False,False,0.53,767.521299
panda,two_step_predictive,0f6a0c79afed4b21be7ee2d431001f7fb484154f17b756f5d1b747c684f059d5,1,3,True,True,1.0,1133.776248
panda,two_step_sigma,0f6a0c79afed4b21be7ee2d431001f7fb484154f17b756f5d1b747c684f059d5,1,3,True,True,1.0,1775.012554
panda,cr_ik,0f6a0c79afed4b21be7ee2d431001f7fb484154f17b756f5d1b747c684f059d5,2,3,True,True,1.0,1719.254875
panda,single_step_reserve,0f6a0c79afed4b21be7ee2d431001f7fb484154f17b756f5d1b747c684f059d5,2,3,False,False,0.7066666666666667,1442.533992
panda,trac_task_20ms,0f6a0c79afed4b21be7ee2d431001f7fb484154f17b756f5d1b747c684f059d5,2,3,True,True,1.0,84.902245
panda,trac_task_5ms,0f6a0c79afed4b21be7ee2d431001f7fb484154f17b756f5d1b747c684f059d5,2,3,False,False,0.52,782.403025
