frames,completion,deadline_completion,frame_success,frame_deadline_success,accepted_frames,deadline_frames,total_latency_ns,p50_ms,p95_ms,p99_ms,first_failure_frame,successful_prefix,first_failure_reason,failure_reasons,backup_rate,optimized_command_rate,changed_from_backup_rate,p95_position_m,max_position_m,p95_orientation_rad,max_orientation_rad,normalized_tolerance_p95,max_accepted_step_utilization,acceleration_rms,velocity_change_rms,accepted_contract_violations,robot,method,repeat,uid,site_id,family,run_id,raw_file,optimization_rate,command_change_rate,mean_intervention,all_nodes_verified_rate,fallback_decisions
150,True,True,1.0,1.0,150,150,149272955,1.0164965,1.0398821,1.1196094999999993,,150,,{},0.0,0.0,0.0,1.6124880640883963e-05,1.6626723768761134e-05,3.490168429229807e-05,3.5511269324307694e-05,0.016124880640883965,0.3263467492576839,0.4995676857806554,0.009991353715613108,0,panda,pink_qp,0,40c3eae024871d71025c88c09b1bbffc1b50b311548d53112ed8d4118883654a,trajectory_16,near_singular,panda_trajectory_16_pink_qp_r0,runs/panda_trajectory_16_pink_qp_r0.jsonl.gz,0.0,0.0,0.0,0.0,"{""baseline"":150}"
150,True,True,1.0,1.0,150,150,284857852,1.902182,2.2903784999999988,2.6973144999999996,,150,,{},0.013333333333333334,0.0,0.0,0.0006586290030484542,0.0008351684098916679,0.000662255501084871,0.005103220234554905,0.6586290030484542,0.9014050733552224,7.784383340245842,0.15568766680491686,0,panda,tar_nominal,2,f786741c9f59d7d552811f1959141226fb4d169d5c149b34b1fb99edb7839b2c,trajectory_32,high_curvature,panda_trajectory_32_tar_nominal_r2,runs/panda_trajectory_32_tar_nominal_r2.jsonl.gz,0.9866666666666667,0.9866666666666667,4.554849562923384e-09,1.0,"{""zero_objective_unchanged"":2,""optimized"":148}"
150,True,True,1.0,1.0,150,150,25423325,0.1653335,0.18894744999999993,0.2449298399999999,,150,,{},0.0,0.0,0.0,0.00044979476122853273,0.0005250596822020291,0.0005293283585707017,0.0006861372237728431,0.44979476122853274,0.6974500174037849,6.249055618891138,0.12498111237782275,0,panda,trac_task_5ms,2,fd96ca4300b705b343cbde5bb7d97076acca0d187b1d78fc9094c6cac23b640b,trajectory_36,high_curvature,panda_trajectory_36_trac_task_5ms_r2,runs/panda_trajectory_36_trac_task_5ms_r2.jsonl.gz,0.0,0.0,0.0,0.0,"{""baseline"":150}"
150,True,True,1.0,1.0,150,150,604059621,3.612845,6.17542105,6.667668139999997,,150,,{},0.7533333333333333,0.0,0.0,0.0005556716124160087,0.0008062276352668885,0.0034926537821393907,0.006251353090589119,0.557345115193921,0.6335857551299734,6.916659760858479,0.13833319521716955,0,panda,tar_fixed,2,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,trajectory_15,near_singular,panda_trajectory_15_tar_fixed_r2,runs/panda_trajectory_15_tar_fixed_r2.jsonl.gz,0.86,0.24666666666666667,4.878772507399778e-11,0.38,"{""zero_objective_unchanged"":21,""optimized"":37,""backup"":92}"
150,True,True,1.0,1.0,150,150,857075450,5.708419,5.841809349999999,5.939009039999999,,150,,{},0.0,0.0,0.0,9.526445665073704e-05,0.0006750497965757686,9.790350697898053e-05,0.006469803806752459,0.09526445665073704,0.3395759756724325,2.15968778938261,0.0431937557876522,0,panda,tar_free,1,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trajectory_03,smooth,panda_trajectory_03_tar_free_r1,runs/panda_trajectory_03_tar_free_r1.jsonl.gz,1.0,1.0,2.4950042679562997e-10,1.0,"{""optimized"":150}"
150,True,False,1.0,0.9933333333333333,150,149,909478767,5.7759645,6.341901249999999,8.17569777999999,,150,,{},0.0,0.0,0.0,0.00033866197110410065,0.0006852395200331577,0.00075018026117025,0.005376808437029089,0.3386619711041006,0.7566779653923387,7.160968826495216,0.1432193765299043,0,panda,tar_free,2,c27c85dfc1ac902402f2c27d5ecd007325d528654413acef4dab0af30af48583,trajectory_37,high_curvature,panda_trajectory_37_tar_free_r2,runs/panda_trajectory_37_tar_free_r2.jsonl.gz,1.0,1.0,1.8159639114107507e-10,1.0,"{""optimized"":150}"
150,True,True,1.0,1.0,150,150,880031330,5.764441,6.645148499999999,7.20820363,,150,,{},0.0,0.0,0.0,9.567375779688545e-05,0.0007067196226672571,9.217094206694844e-05,0.006910062790343481,0.09567375779688546,0.3395364589023889,2.7735696537373067,0.055471393074746134,0,panda,tar_free,2,62749969a81aa229bd98bbc6a77941b40960bf5ae0886a5dfe36f5eff62e5c1c,trajectory_27,joint_limit_return,panda_trajectory_27_tar_free_r2,runs/panda_trajectory_27_tar_free_r2.jsonl.gz,1.0,1.0,3.027584535309916e-10,1.0,"{""optimized"":150}"
150,True,True,1.0,1.0,150,150,862786482,5.926035,7.1664033499999995,9.107434909999998,,150,,{},0.18666666666666668,0.0,0.0,0.00018298166731446055,0.0006968874645071113,0.000506004414305132,0.005878486802442242,0.2421026800937655,0.3280301738195694,2.8223990803390016,0.05644798160678003,0,panda,tar_fixed,2,62749969a81aa229bd98bbc6a77941b40960bf5ae0886a5dfe36f5eff62e5c1c,trajectory_27,joint_limit_return,panda_trajectory_27_tar_fixed_r2,runs/panda_trajectory_27_tar_fixed_r2.jsonl.gz,1.0,0.8133333333333334,7.311220980315874e-10,0.8133333333333334,"{""backup"":28,""optimized"":122}"
150,True,True,1.0,1.0,150,150,31798716,0.1698885,0.3018342999999992,1.0625402999999987,,150,,{},0.0,0.0,0.0,0.0007555317144879254,0.0009355807178071384,0.005765183962841849,0.007515181349712456,0.7763744845007481,0.9999999999999968,14.160258612360991,0.2832051722472198,0,panda,trac_task_20ms,2,ea5503530085a4b7fba1457389f090742de31c9aa6ebe8907aa867289b032370,trajectory_12,near_singular,panda_trajectory_12_trac_task_20ms_r2,runs/panda_trajectory_12_trac_task_20ms_r2.jsonl.gz,0.0,0.0,0.0,0.0,"{""baseline"":150}"
150,True,True,1.0,1.0,150,150,127965171,0.996039,1.0338621499999998,1.07219197,,150,,{},0.0,0.0,0.0,0.00024486641236108565,0.00028375454951068326,0.0003620221198283787,0.0005428472183723856,0.24486641236108567,0.6455277589599178,6.32317632666306,0.1264635265332612,0,panda,pink_qp,2,bb2d7133de7083285ff7ede00b959e62fc3bf5dc626bfa521b77361d0f3f759e,trajectory_34,high_curvature,panda_trajectory_34_pink_qp_r2,runs/panda_trajectory_34_pink_qp_r2.jsonl.gz,0.0,0.0,0.0,0.0,"{""baseline"":150}"
