robot,method,family,calls,units,verified_success,internal_success,accepted_within_20ms,returned_within_5ms,returned_within_20ms,total_latency_ns,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_mean_ms,latency_max_ms,internal_failure__task_reject,internal_failure__task_accept,internal_success__task_reject,internal_success__task_accept,accepted_position,accepted_orientation,all_returned_position,all_returned_orientation,joint_rejections,velocity_rejections,native_failure_task_accept,completion_counts,deadline_completion_counts,completion_rate,cumulative_latency_ns_per_sweep,per_trajectory_cumulative_ms,paired_unit_cumulative_ms
panda,dls_strict,high_curvature,1500,10,1.0,0.992,1.0,0.988,1.0,1700073420,0.9133335,1.9488854999999996,6.351013799999989,1.13338228,10.113467,0,12,0,1488,"{'p50': 6.596533667438677e-08, 'p95': 2.3507983517183763e-06, 'p99': 8.150103740173893e-06, 'mean': 1.7188417298859935e-06, 'max': 0.00027758293464746724}","{'p50': 1.2039442434468877e-07, 'p95': 4.6031554527481605e-06, 'p99': 9.376283480214867e-06, 'mean': 2.123380455988955e-06, 'max': 0.0003021132941400076}","{'p50': 6.596533667438677e-08, 'p95': 2.3507983517183763e-06, 'p99': 8.150103740173893e-06, 'mean': 1.7188417298859935e-06, 'max': 0.00027758293464746724}","{'p50': 1.2039442434468877e-07, 'p95': 4.6031554527481605e-06, 'p99': 9.376283480214867e-06, 'mean': 2.123380455988955e-06, 'max': 0.0003021132941400076}",0,0,12,[10],[10],1.0,1700073420.0,"{'p50': 150.09757150000002, 'p95': 268.64642084999986, 'p99': 311.84825217, 'mean': 170.00734199999997, 'max': 322.64871}","{'p50': 150.09757150000002, 'p95': 268.64642084999986, 'p99': 311.84825217, 'mean': 170.00734199999997, 'max': 322.64871}"
panda,dls_strict,joint_limit_return,1500,10,0.9466666666666667,0.8906666666666667,0.9466666666666667,0.8846666666666667,1.0,2725841964,0.913211,8.41716335,9.453001070000001,1.817227976,15.327452,80,84,0,1336,"{'p50': 2.2054343243477603e-08, 'p95': 9.49521290178086e-06, 'p99': 0.00012564582961332795, 'mean': 4.878338875364085e-06, 'max': 0.0003170436903506284}","{'p50': 3.650961149394298e-08, 'p95': 9.095189226651572e-06, 'p99': 0.0008760216035606933, 'mean': 2.6926985407951963e-05, 'max': 0.006392667009914964}","{'p50': 2.516499586889538e-08, 'p95': 0.01170503641844951, 'p99': 0.3896100233578969, 'mean': 0.014075386003120291, 'max': 0.40559362481253103}","{'p50': 4.6387092506504566e-08, 'p95': 0.02468053749064445, 'p99': 0.4447553910909717, 'mean': 0.016210293357229427, 'max': 0.4693382084652454}",0,0,84,[9],[9],0.9,2725841964.0,"{'p50': 185.352718, 'p95': 600.77558015, 'p99': 610.46544563, 'mean': 272.5841964, 'max': 612.887912}","{'p50': 185.352718, 'p95': 600.77558015, 'p99': 610.46544563, 'mean': 272.5841964, 'max': 612.887912}"
panda,dls_strict,near_singular,1500,10,0.9253333333333333,0.4826666666666667,0.9253333333333333,0.4166666666666667,1.0,8353852945,6.261838,10.052278249999997,12.547140929999998,5.569235296666667,18.055388,112,664,0,724,"{'p50': 9.87720936494392e-06, 'p95': 0.00038534733182739664, 'p99': 0.000645332890084393, 'mean': 7.808461186514364e-05, 'max': 0.0009528183158590632}","{'p50': 9.245748610403627e-06, 'p95': 0.00026718913574617144, 'p99': 0.00038573182082684817, 'mean': 5.012002158329145e-05, 'max': 0.0008571533673089175}","{'p50': 1.1265875526132054e-05, 'p95': 0.02874499376311457, 'p99': 0.14226522360786076, 'mean': 0.004667191993523037, 'max': 0.15715427421047626}","{'p50': 9.577450978894894e-06, 'p95': 0.06743725346112682, 'p99': 0.22461991846772303, 'mean': 0.008691615704203806, 'max': 0.2515271510398877}",0,0,664,[8],[8],0.8,8353852945.0,"{'p50': 886.392662, 'p95': 1156.34936525, 'p99': 1207.14908585, 'mean': 835.3852945000001, 'max': 1219.849016}","{'p50': 886.392662, 'p95': 1156.34936525, 'p99': 1207.14908585, 'mean': 835.3852945000001, 'max': 1219.849016}"
panda,dls_strict,smooth,1500,10,1.0,1.0,1.0,1.0,1.0,1475051728,0.899258,1.45846195,2.0751796099999997,0.9833678186666666,2.533627,0,0,0,1500,"{'p50': 7.941884682295556e-09, 'p95': 2.754324095137574e-07, 'p99': 6.00130847638291e-06, 'mean': 2.0966882338267717e-07, 'max': 8.853039689340454e-06}","{'p50': 1.38963050238613e-08, 'p95': 5.167331693451975e-07, 'p99': 6.708745654782638e-06, 'mean': 2.532755662544983e-07, 'max': 9.577384171898308e-06}","{'p50': 7.941884682295556e-09, 'p95': 2.754324095137574e-07, 'p99': 6.00130847638291e-06, 'mean': 2.0966882338267717e-07, 'max': 8.853039689340454e-06}","{'p50': 1.38963050238613e-08, 'p95': 5.167331693451975e-07, 'p99': 6.708745654782638e-06, 'mean': 2.532755662544983e-07, 'max': 9.577384171898308e-06}",0,0,0,[10],[10],1.0,1475051728.0,"{'p50': 145.040602, 'p95': 167.91716225, 'p99': 169.87595645000002, 'mean': 147.5051728, 'max': 170.365655}","{'p50': 145.040602, 'p95': 167.91716225, 'p99': 169.87595645000002, 'mean': 147.5051728, 'max': 170.365655}"
panda,dls_task,high_curvature,1500,10,1.0,1.0,1.0,1.0,1.0,950645515,0.5612334999999999,0.9957166,1.58117179,0.6337636766666667,2.492006,0,0,0,1500,"{'p50': 0.0001311601687499096, 'p95': 0.0006415247656929364, 'p99': 0.0009590472182961735, 'mean': 0.0001973665470529917, 'max': 0.00099952022476937}","{'p50': 0.00017381247301311476, 'p95': 0.0006416230603688468, 'p99': 0.0009628430024815017, 'mean': 0.00023504728501526763, 'max': 0.008173428318912438}","{'p50': 0.0001311601687499096, 'p95': 0.0006415247656929364, 'p99': 0.0009590472182961735, 'mean': 0.0001973665470529917, 'max': 0.00099952022476937}","{'p50': 0.00017381247301311476, 'p95': 0.0006416230603688468, 'p99': 0.0009628430024815017, 'mean': 0.00023504728501526763, 'max': 0.008173428318912438}",0,0,0,[10],[10],1.0,950645515.0,"{'p50': 96.6854685, 'p95': 102.85238854999999, 'p99': 105.49618570999999, 'mean': 95.0645515, 'max': 106.157135}","{'p50': 96.6854685, 'p95': 102.85238854999999, 'p99': 105.49618570999999, 'mean': 95.0645515, 'max': 106.157135}"
panda,dls_task,joint_limit_return,1500,10,0.9466666666666667,0.9466666666666667,0.9466666666666667,0.9466666666666667,1.0,1353854496,0.5478875,5.1146762999999975,6.73214768,0.9025696639999999,13.102034,80,0,0,1420,"{'p50': 6.292346055520323e-05, 'p95': 0.00030680727237867775, 'p99': 0.000652290931445969, 'mean': 9.264232310321241e-05, 'max': 0.0009963726426283211}","{'p50': 7.452009335994839e-05, 'p95': 0.0008235590410408632, 'p99': 0.008007153552899736, 'mean': 0.0003174436718570516, 'max': 0.008664497055913383}","{'p50': 6.693927010157596e-05, 'p95': 0.011464873588520516, 'p99': 0.3894520964832022, 'mean': 0.014149415454373863, 'max': 0.4054242174073069}","{'p50': 7.65175214523773e-05, 'p95': 0.024957299286925968, 'p99': 0.4424199094489795, 'mean': 0.01645544453291257, 'max': 0.4692219587565433}",0,0,0,[9],[9],0.9,1353854496.0,"{'p50': 88.95909449999999, 'p95': 349.9843378499995, 'p99': 500.62915557, 'mean': 135.3854496, 'max': 538.29036}","{'p50': 88.95909449999999, 'p95': 349.9843378499995, 'p99': 500.62915557, 'mean': 135.3854496, 'max': 538.29036}"
panda,dls_task,near_singular,1500,10,0.9253333333333333,0.9253333333333333,0.9253333333333333,0.9246666666666666,1.0,1617580328,0.5422845000000001,6.220967599999999,9.257785639999998,1.0783868853333334,13.20112,112,0,0,1388,"{'p50': 0.00026156187130221175, 'p95': 0.0009581989127461178, 'p99': 0.000994944299752678, 'mean': 0.000356298491092501, 'max': 0.0009999671153337025}","{'p50': 0.00031684543190677164, 'p95': 0.001963985345394901, 'p99': 0.004226934383647007, 'mean': 0.0005512760707397385, 'max': 0.006781829937137002}","{'p50': 0.0003131388852642722, 'p95': 0.029393321314234805, 'p99': 0.14238232109653967, 'mean': 0.004963847765664609, 'max': 0.15665512681887714}","{'p50': 0.0003621306460153327, 'p95': 0.06866287744149939, 'p99': 0.22561929659190655, 'mean': 0.009388161851429988, 'max': 0.2561077011799785}",0,0,0,[8],[8],0.8,1617580328.0,"{'p50': 87.7809585, 'p95': 464.5160825, 'p99': 474.6024509, 'mean': 161.7580328, 'max': 477.124043}","{'p50': 87.7809585, 'p95': 464.5160825, 'p99': 474.6024509, 'mean': 161.7580328, 'max': 477.124043}"
panda,dls_task,smooth,1500,10,1.0,1.0,1.0,1.0,1.0,891930605,0.549686,0.804102,1.3408897299999996,0.5946204033333333,1.882858,0,0,0,1500,"{'p50': 4.6569492020310556e-05, 'p95': 0.0001293306121569816, 'p99': 0.00014794545346623707, 'mean': 5.472356254584921e-05, 'max': 0.0001574104179821395}","{'p50': 6.135304967956751e-05, 'p95': 0.00014859288290974061, 'p99': 0.00019233325437050894, 'mean': 6.817893401967905e-05, 'max': 0.00020714298547129816}","{'p50': 4.6569492020310556e-05, 'p95': 0.0001293306121569816, 'p99': 0.00014794545346623707, 'mean': 5.472356254584921e-05, 'max': 0.0001574104179821395}","{'p50': 6.135304967956751e-05, 'p95': 0.00014859288290974061, 'p99': 0.00019233325437050894, 'mean': 6.817893401967905e-05, 'max': 0.00020714298547129816}",0,0,0,[10],[10],1.0,891930605.0,"{'p50': 89.748393, 'p95': 94.0137995, 'p99': 94.4986511, 'mean': 89.1930605, 'max': 94.619864}","{'p50': 89.748393, 'p95': 94.0137995, 'p99': 94.4986511, 'mean': 89.1930605, 'max': 94.619864}"
panda,trac_strict_20ms,high_curvature,4500,10,1.0,1.0,1.0,1.0,1.0,1004733422,0.18849749999999998,0.43943010000000005,0.52004815,0.22327409377777777,0.666735,0,0,0,4500,"{'p50': 6.306391084996006e-08, 'p95': 1.8518535506829452e-06, 'p99': 4.583125088644976e-06, 'mean': 3.7170553436863756e-07, 'max': 1.136328136823879e-05}","{'p50': 1.0861384203210104e-07, 'p95': 3.732056166555694e-06, 'p99': 8.587768453546367e-06, 'mean': 6.646980987807587e-07, 'max': 1.344558963159149e-05}","{'p50': 6.306391084996006e-08, 'p95': 1.8518535506829452e-06, 'p99': 4.583125088644976e-06, 'mean': 3.7170553436863756e-07, 'max': 1.136328136823879e-05}","{'p50': 1.0861384203210104e-07, 'p95': 3.732056166555694e-06, 'p99': 8.587768453546367e-06, 'mean': 6.646980987807587e-07, 'max': 1.344558963159149e-05}",0,0,0,"[10, 10, 10]","[10, 10, 10]",1.0,334911140.6666667,"{'p50': 33.572396, 'p95': 38.6885689, 'p99': 39.622111350000004, 'mean': 33.49111406666667, 'max': 39.907322}","{'p50': 33.56571866666667, 'p95': 35.4860255, 'p99': 35.520953899999995, 'mean': 33.49111406666667, 'max': 35.529686}"
panda,trac_strict_20ms,joint_limit_return,4500,10,0.9453333333333334,0.9453333333333334,0.9453333333333334,0.9453333333333334,0.9453333333333334,5991022512,0.192064,20.30923115,20.46695469,1.331338336,20.696814,246,0,0,4254,"{'p50': 2.028997424453312e-08, 'p95': 1.439317744305442e-06, 'p99': 7.03884708201125e-06, 'mean': 3.0690080131952584e-07, 'max': 1.3882255404836625e-05}","{'p50': 2.954425242092786e-08, 'p95': 1.6133831324564983e-06, 'p99': 8.791632407263065e-06, 'mean': 3.4782819648420896e-07, 'max': 1.3588050892634785e-05}","{'p50': 2.2737722012207643e-08, 'p95': 0.08999777314547516, 'p99': 0.4520401836003956, 'mean': 0.017800411508144192, 'max': 0.46910630907375}","{'p50': 3.478984282108186e-08, 'p95': 0.12860135934217942, 'p99': 0.5280098232033196, 'mean': 0.0211771141612583, 'max': 0.545129802224241}",0,0,0,"[9, 9, 9]","[9, 9, 9]",0.9,1997007504.0,"{'p50': 34.4062, 'p95': 1686.269284, 'p99': 1693.18845444, 'mean': 199.70075039999995, 'max': 1694.20646}","{'p50': 34.02903716666667, 'p95': 945.8483652833315, 'p99': 1540.0393509233336, 'mean': 199.70075040000003, 'max': 1688.5870973333333}"
