frames,completion,deadline_completion,frame_success,frame_deadline_success,accepted_frames,deadline_frames,total_latency_ns,p50_ms,p95_ms,p99_ms,first_failure_frame,successful_prefix,first_failure_reason,failure_reasons,backup_rate,optimized_command_rate,changed_from_backup_rate,p95_position_m,max_position_m,p95_orientation_rad,max_orientation_rad,normalized_tolerance_p95,max_accepted_step_utilization,acceleration_rms,velocity_change_rms,accepted_contract_violations,optimization_call_rate,mean_conic_calls,intervention_normalized_mean,intervention_normalized_p95,unchanged_given_legal_backup,accepted_near_tolerance_rate,direct_return_rate,direct_extra_p50_ms,demand_coverage,demand_met_rate,partial_correction_rate,effective_command_adjustment_rate,geometric_recovery_rate,actual_shortfall_reduction_mean,normalized_shortfall_reduction_mean,partial_shortfall_reduction_mean,fallback_counts,decision_counts,robot,uid,site_id,family,method,repeat,run_id,raw_file
150,True,True,1.0,1.0,150,150,104039621,0.53878,1.36824325,1.4517630499999998,,150,,{},0.82,0.9933333333333333,0.18,0.0005040964662743881,0.0006694940563480627,0.002256595346687507,0.0049779989470258865,0.5120050104769679,0.5740597767213897,9.871797620687396,0.19743595241374792,0,0.18666666666666668,0.18666666666666668,0.0022769963483607156,0.010871510571813865,0.82,0.0,0.8133333333333334,0.3372985,1.0,0.8133333333333334,0.18,0.18,0.0,0.006096165608350423,0.0028910666471754255,0.03364180280163752,"{""convex_solve_unsuccessful"":1}","{""partial_effective_correction"":27,""full_demand_satisfied"":122,""backup_without_improvement"":1}",ur5e,bf166cd6db08076d8c85cfd7e7364d2446c3c1ec592ea82609b812c0faa204ea,trajectory_15,near_singular,cr_ik_elastic_mu025,0,ur5e_trajectory_15_cr_ik_elastic_mu025_r0,runs/ur5e_trajectory_15_cr_ik_elastic_mu025_r0.jsonl.gz
150,True,True,1.0,1.0,150,150,103752872,0.540169,1.3528983999999997,1.5209063799999987,,150,,{},0.82,0.9933333333333333,0.18,0.0005207782954275935,0.0006203002765400969,0.003244098623608448,0.004908392671837505,0.5277700148753924,0.8678063498416158,15.051594567779276,0.30103189135558556,0,0.18666666666666668,0.18666666666666668,0.002769483901237042,0.018923014970801455,0.82,0.0,0.8133333333333334,0.336337,1.0,0.8133333333333334,0.18,0.18,0.0,0.0077297401082877535,0.0036048991124803444,0.042656713930921304,"{""convex_solve_unsuccessful"":1}","{""partial_effective_correction"":27,""full_demand_satisfied"":122,""backup_without_improvement"":1}",ur5e,bf166cd6db08076d8c85cfd7e7364d2446c3c1ec592ea82609b812c0faa204ea,trajectory_15,near_singular,cr_ik_elastic_mu025,1,ur5e_trajectory_15_cr_ik_elastic_mu025_r1,runs/ur5e_trajectory_15_cr_ik_elastic_mu025_r1.jsonl.gz
150,True,True,1.0,1.0,150,150,103888813,0.5468675,1.35577565,1.4316366299999999,,150,,{},0.82,0.9933333333333333,0.18,0.0005085585207266772,0.0007260071815113745,0.002556025210626817,0.0052820583861646255,0.5085585207266772,0.49015991856666363,8.264199119627646,0.1652839823925529,0,0.18666666666666668,0.18666666666666668,0.0022600416540987972,0.010815121533849722,0.82,0.0,0.8133333333333334,0.3392415,1.0,0.8133333333333334,0.18,0.18,0.0,0.005891346923589197,0.0029078420497587387,0.03251150709684408,"{""convex_solve_unsuccessful"":1}","{""partial_effective_correction"":27,""full_demand_satisfied"":122,""backup_without_improvement"":1}",ur5e,bf166cd6db08076d8c85cfd7e7364d2446c3c1ec592ea82609b812c0faa204ea,trajectory_15,near_singular,cr_ik_elastic_mu025,2,ur5e_trajectory_15_cr_ik_elastic_mu025_r2,runs/ur5e_trajectory_15_cr_ik_elastic_mu025_r2.jsonl.gz
150,False,False,0.8266666666666667,0.8266666666666667,124,124,235268373,0.5478055,6.0381884,6.0748786500000005,124,124,position_tolerance,"{""position_tolerance"":2,""position_tolerance+orientation_tolerance"":24}",0.9933333333333333,0.8266666666666667,0.006666666666666667,0.0004138648346459606,0.0005906173274093805,0.0013503175102176535,0.005362474942387354,0.4138648346459606,0.9910135395261299,18.777667667904776,0.3755533533580956,0,0.3933333333333333,0.4,0.00025362926886275244,0.0,0.9919354838709677,0.0,0.6066666666666667,0.33575,1.0,0.6066666666666667,0.0,0.006666666666666667,0.006666666666666667,0.0,0.0,,"{""convex_solve_unsuccessful"":58}","{""backup_without_improvement"":32,""full_demand_satisfied"":91,""geometric_recovery"":1,""no_legal_command"":26}",ur5e,bf166cd6db08076d8c85cfd7e7364d2446c3c1ec592ea82609b812c0faa204ea,trajectory_15,near_singular,cr_ik_elastic_mu0,0,ur5e_trajectory_15_cr_ik_elastic_mu0_r0,runs/ur5e_trajectory_15_cr_ik_elastic_mu0_r0.jsonl.gz
150,False,False,0.8333333333333334,0.8333333333333334,125,125,233808525,0.5475075,6.0627089000000005,6.19998138,125,125,position_tolerance,"{""position_tolerance"":1,""position_tolerance+orientation_tolerance"":24}",0.9933333333333333,0.8266666666666667,0.006666666666666667,0.0004769485818404305,0.0006509185568727856,0.002065683558463503,0.006618659677357983,0.4887742829367447,0.8711234931722315,15.6127631368773,0.312255262737546,0,0.38666666666666666,0.3933333333333333,0.00025160023471185037,0.0,0.992,0.0,0.6133333333333333,0.3365265,1.0,0.6133333333333333,0.0,0.006666666666666667,0.006666666666666667,0.0,0.0,,"{""convex_solve_unsuccessful"":57}","{""backup_without_improvement"":32,""full_demand_satisfied"":92,""geometric_recovery"":1,""no_legal_command"":25}",ur5e,bf166cd6db08076d8c85cfd7e7364d2446c3c1ec592ea82609b812c0faa204ea,trajectory_15,near_singular,cr_ik_elastic_mu0,1,ur5e_trajectory_15_cr_ik_elastic_mu0_r1,runs/ur5e_trajectory_15_cr_ik_elastic_mu0_r1.jsonl.gz
150,False,False,0.8333333333333334,0.8333333333333334,125,125,299382069,0.5499895,6.0629045,6.14092333,125,125,position_tolerance,"{""position_tolerance"":1,""position_tolerance+orientation_tolerance"":24}",0.9933333333333333,0.8266666666666667,0.006666666666666667,0.0004648916149898427,0.0007633907593193944,0.002134044269990703,0.005583936260468957,0.49169444039466936,0.9590125387172876,12.106138423694318,0.24212276847388636,0,0.38666666666666666,0.6,0.00025160023471185037,0.0,0.992,0.0,0.6133333333333333,0.339361,1.0,0.6133333333333333,0.0,0.006666666666666667,0.006666666666666667,0.0,0.0,,"{""no_actual_objective_improvement"":31,""convex_solve_unsuccessful"":26}","{""backup_without_improvement"":32,""full_demand_satisfied"":92,""geometric_recovery"":1,""no_legal_command"":25}",ur5e,bf166cd6db08076d8c85cfd7e7364d2446c3c1ec592ea82609b812c0faa204ea,trajectory_15,near_singular,cr_ik_elastic_mu0,2,ur5e_trajectory_15_cr_ik_elastic_mu0_r2,runs/ur5e_trajectory_15_cr_ik_elastic_mu0_r2.jsonl.gz
150,True,True,1.0,1.0,150,150,102270374,0.5350985,1.3336478999999999,1.4887507499999997,,150,,{},0.82,1.0,0.18,0.0004070568250408633,0.0005906172913375607,0.002224257662571104,0.004734325405847759,0.40801173322639167,0.2152372986764567,3.823570326234888,0.07647140652469776,0,0.18,0.18,0.0035106624501959074,0.015221265621144904,0.82,0.0,0.82,0.33789,1.0,0.82,0.18,0.18,0.0,0.00653642853924194,0.0038741282264771458,0.03631349188467744,{},"{""partial_effective_correction"":27,""full_demand_satisfied"":123}",ur5e,bf166cd6db08076d8c85cfd7e7364d2446c3c1ec592ea82609b812c0faa204ea,trajectory_15,near_singular,cr_ik_elastic_mu1,0,ur5e_trajectory_15_cr_ik_elastic_mu1_r0,runs/ur5e_trajectory_15_cr_ik_elastic_mu1_r0.jsonl.gz
150,True,True,1.0,1.0,150,150,103483284,0.543279,1.35891175,1.4733520699999996,,150,,{},0.82,1.0,0.18,0.0005120884867682844,0.0006182851818215196,0.003178951441464238,0.004847667437672828,0.5195693680025895,0.2152372986764567,4.58265897947457,0.0916531795894914,0,0.18,0.18,0.003562653236592026,0.01680547564004269,0.82,0.0,0.82,0.340919,1.0,0.82,0.18,0.18,0.0,0.006828648093362637,0.00394721665897209,0.03793693385201465,{},"{""partial_effective_correction"":27,""full_demand_satisfied"":123}",ur5e,bf166cd6db08076d8c85cfd7e7364d2446c3c1ec592ea82609b812c0faa204ea,trajectory_15,near_singular,cr_ik_elastic_mu1,1,ur5e_trajectory_15_cr_ik_elastic_mu1_r1,runs/ur5e_trajectory_15_cr_ik_elastic_mu1_r1.jsonl.gz
150,True,True,1.0,1.0,150,150,102278230,0.5370145,1.3523558999999998,1.4471938699999995,,150,,{},0.82,1.0,0.18,0.00042224376752448395,0.0005906172913375607,0.002243581121698357,0.004734325405847759,0.44338460008335673,0.2152372986764567,3.772141470549054,0.07544282941098107,0,0.18,0.18,0.0034768959168066573,0.011958198517664746,0.82,0.0,0.82,0.336567,1.0,0.82,0.18,0.18,0.0,0.006352699929816311,0.0038281749838620103,0.035292777387868395,{},"{""partial_effective_correction"":27,""full_demand_satisfied"":123}",ur5e,bf166cd6db08076d8c85cfd7e7364d2446c3c1ec592ea82609b812c0faa204ea,trajectory_15,near_singular,cr_ik_elastic_mu1,2,ur5e_trajectory_15_cr_ik_elastic_mu1_r2,runs/ur5e_trajectory_15_cr_ik_elastic_mu1_r2.jsonl.gz
150,True,True,1.0,1.0,150,150,103495061,0.551793,1.3371099499999999,1.4051968899999996,,150,,{},0.82,1.0,0.18,0.00048372180807476276,0.0005811570156976136,0.0033742966188257052,0.005344547967590271,0.5195691167319076,0.21521403587322777,4.9867858851642755,0.09973571770328553,0,0.18,0.18,0.0034963919985321963,0.011958198550617274,0.82,0.0,0.82,0.34281,1.0,0.82,0.18,0.18,0.0,0.006119299445195298,0.003896387418962675,0.03399610802886276,{},"{""partial_effective_correction"":27,""full_demand_satisfied"":123}",ur5e,bf166cd6db08076d8c85cfd7e7364d2446c3c1ec592ea82609b812c0faa204ea,trajectory_15,near_singular,cr_ik_elastic_mu4,0,ur5e_trajectory_15_cr_ik_elastic_mu4_r0,runs/ur5e_trajectory_15_cr_ik_elastic_mu4_r0.jsonl.gz
