robot,uid,site_id,family,method,repeat,frame,dt,previous_q,target_position,target_rotation,q,accepted,failure_kind,verification_reasons,position_error,orientation_error,velocity_utilization,internal_status,total_latency_ns
panda,2c543db9ae3e36911506230aecc8d24ae76182b25c4491663d5f8b780f3dc916,trajectory_007,smooth,task_balance_k1,1,77,0.02,"[-0.23951840333705177,0.03691563358688455,1.3386597239998947,-1.1669899416293392,-1.0698414933272509,2.034539744784868,-0.9156898209191255]","[0.29225697968682185,0.4558261695143866,0.8960957523963271]","[[-0.24846953359784144,0.1675855318304292,0.954032483930596],[0.9213122397273281,0.3449905994626336,0.17934671229500312],[-0.29907632437604476,0.9235239984989694,-0.2401182550207084]]","[-0.19591840333709537,0.06098240370548181,1.3561475181707152,-1.1570521745998406,-1.1221414933271985,2.021859124086759,-0.9097916911880172]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.0011255567937363932,0.009822335984486459,0.9999999999989999,deadline,20165388
panda,2c543db9ae3e36911506230aecc8d24ae76182b25c4491663d5f8b780f3dc916,trajectory_007,smooth,task_balance_k1,1,78,0.02,"[-0.23951840333705177,0.03691563358688455,1.3386597239998947,-1.1669899416293392,-1.0698414933272509,2.034539744784868,-0.9156898209191255]","[0.27907862238182407,0.4652635320011552,0.8978974676601215]","[[-0.2686669741861897,0.14434199324178817,0.9523567850173719],[0.9131977208965568,0.35268419915718474,0.20416605548961778],[-0.30641145463407815,0.9245427219181614,-0.22656737588890746]]","[-0.19591840333709537,0.05382691702048401,1.3730415435644994,-1.1632136147580572,-1.1221414933271985,2.047103169782709,-0.9119129058747273]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.002495832824676547,0.021780250185042867,0.9999999999989999,deadline,20269387
panda,2c543db9ae3e36911506230aecc8d24ae76182b25c4491663d5f8b780f3dc916,trajectory_007,smooth,task_balance_k1,1,79,0.02,"[-0.23951840333705177,0.03691563358688455,1.3386597239998947,-1.1669899416293392,-1.0698414933272509,2.034539744784868,-0.9156898209191255]","[0.2660017391844153,0.4739324096542205,0.8998241355509513]","[[-0.28831617134211845,0.12182869356871982,0.9497534178753774],[0.9050809590668212,0.35845605468893293,0.2287743744205812],[-0.31257357994127655,0.9255630860617681,-0.21361350809934895]]","[-0.19591840333709537,0.041644794177694025,1.382259723999851,-1.171096048284195,-1.1221414933271985,2.0779225669258214,-0.9103152854669859]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.0038325323968609994,0.03344515450750511,0.9999999999989999,deadline,20204856
panda,2c543db9ae3e36911506230aecc8d24ae76182b25c4491663d5f8b780f3dc916,trajectory_007,smooth,task_balance_k1,1,80,0.02,"[-0.23951840333705177,0.03691563358688455,1.3386597239998947,-1.1669899416293392,-1.0698414933272509,2.034539744784868,-0.9156898209191255]","[0.2530788871612713,0.48182905559550077,0.901890635722062]","[[-0.30743613644920254,0.10016735048409732,0.946281947361453],[0.8970205175774326,0.3623640109290328,0.25307412872227586],[-0.31754875696545,0.9266384545659756,-0.2012559600838636]]","[-0.19591840333709537,0.016856757146161146,1.382259723999851,-1.1796198978962489,-1.1221414933271985,2.086839744784816,-0.8649282633267119]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.006829296066517667,0.04655941513498995,0.9999999999990026,deadline,20197861
panda,2c543db9ae3e36911506230aecc8d24ae76182b25c4491663d5f8b780f3dc916,trajectory_007,smooth,task_balance_k1,1,81,0.02,"[-0.23951840333705177,0.03691563358688455,1.3386597239998947,-1.1669899416293392,-1.0698414933272509,2.034539744784868,-0.9156898209191255]","[0.24036201965299578,0.4889530166380745,0.904110713573219]","[[-0.3260464925634252,0.07947163332906904,0.9420074013419951],[0.8890688739077692,0.3644741804855798,0.27697492523283845],[-0.3213257259160236,0.9278161624240953,-0.18949128372873866]]","[-0.19591840333709537,-0.006684366413071852,1.382259723999851,-1.185724826489564,-1.1221414933271985,2.086839744784816,-0.8633898209191778]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.010139182290797466,0.04808735439735242,0.9999999999990026,deadline,20179040
panda,2c543db9ae3e36911506230aecc8d24ae76182b25c4491663d5f8b780f3dc916,trajectory_007,smooth,task_balance_k1,1,82,0.02,"[-0.23951840333705177,0.03691563358688455,1.3386597239998947,-1.1669899416293392,-1.0698414933272509,2.034539744784868,-0.9156898209191255]","[0.22790217781804956,0.4953069491507144,0.906496799444474]","[[-0.34416660046745234,0.05984666411868802,0.936999321193213],[0.8812723320257863,0.3648596851790742,0.30039388631738023],[-0.3238957053258183,0.9291371195495807,-0.17831372674754717]]","[-0.19591840333709537,-0.006684366413071852,1.382259723999851,-1.173984292362918,-1.0175414933273033,2.086839744784816,-0.8633898209191778]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.018228143532066417,0.11048316617166831,0.9999999999990026,deadline,20260300
panda,2c543db9ae3e36911506230aecc8d24ae76182b25c4491663d5f8b780f3dc916,trajectory_007,smooth,task_balance_k1,1,83,0.02,"[-0.23951840333705177,0.03691563358688455,1.3386597239998947,-1.1669899416293392,-1.0698414933272509,2.034539744784868,-0.9156898209191255]","[0.21574919861001055,0.5008964127153078,0.9090598429817931]","[[-0.3618147328122708,0.04138864057243065,0.9313308110180568],[0.8736710466930995,0.36359941031563575,0.3232558908795107],[-0.3252522118144154,0.9306355082682414,-0.16771568042417104]]","[-0.19591840333709537,-0.006684366413071852,1.382259723999851,-1.1701926167139214,-1.0175414933273033,2.086839744784816,-0.8633898209191778]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.03011785074964667,0.1217029730092162,0.9999999999990026,deadline,20219375
panda,2c543db9ae3e36911506230aecc8d24ae76182b25c4491663d5f8b780f3dc916,trajectory_007,smooth,task_balance_k1,1,84,0.02,"[-0.23951840333705177,0.03691563358688455,1.3386597239998947,-1.1669899416293392,-1.0698414933272509,2.034539744784868,-0.9156898209191255]","[0.20395144046845892,0.505729645373086,0.9118091642766623]","[[-0.37900731027576307,0.024184571449028733,0.9250775995890064],[0.8662991482794105,0.36077679030444565,0.3454936949757408],[-0.32539091021093325,0.932338572666308,-0.15768811455100715]]","[-0.19591840333709537,-0.006684366413071845,1.382259723999851,-1.1656040431590204,-1.0175414933273033,2.086839744784816,-0.8633898209191778]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.04223247136866392,0.13529187828693767,0.9999999999990026,deadline,20282617
panda,2c543db9ae3e36911506230aecc8d24ae76182b25c4491663d5f8b780f3dc916,trajectory_007,smooth,task_balance_k1,1,85,0.02,"[-0.23951840333705177,0.03691563358688455,1.3386597239998947,-1.1669899416293392,-1.0698414933272509,2.034539744784868,-0.9156898209191255]","[0.19255552764997236,0.5098173242649573,0.9147523231559633]","[[-0.39575821156376717,0.00831211332130932,0.9183171275501628],[0.8591849553555978,0.35647864144166513,0.3670479405833851],[-0.32430949796521197,0.9342664967599118,-0.14822099231051447]]","[-0.19591840333709537,-0.006684366413071852,1.382259723999851,-1.1602284690403257,-1.0175414933273033,2.086839744784816,-0.8633898209191778]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.053930907361543615,0.150038151098055,0.9999999999990026,deadline,20217891
panda,2c543db9ae3e36911506230aecc8d24ae76182b25c4491663d5f8b780f3dc916,trajectory_007,smooth,task_balance_k1,1,87,0.02,"[-0.23951840333705177,0.03691563358688455,1.3386597239998947,-1.1669899416293392,-1.0698414933272509,2.034539744784868,-0.9156898209191255]","[0.17114566520037727,0.5158094163226755,0.9212409433811343]","[[-0.427974242405457,-0.019174465999456207,0.9035875097029122],[0.8458156823427369,0.3438133603679832,0.4079071030707433],[-0.31848685897626283,0.938842219484249,-0.13092519838947436]]","[-0.19591840333709537,-0.006684366413071852,1.382259723999851,-1.147166573104416,-1.0175414933273033,2.086839744784816,-0.8633898209191778]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.07544825471443534,0.1800905690121839,0.9999999999990026,deadline,20177342
