slot,robot,family,method,predicted_execution_s,quality_completed,sampling_proxy_lower_bound_s,lower_bound_assumption,scan_time_s,turn_time_s,time_fraction_near_sampling_cap,time_fraction_near_joint_speed,time_fraction_near_acceleration,classification,actual_acceleration_max,actual_tracking_max_rad,actual_profile_gap_m
panda_cylinder_p0_v,panda,cylinder,B0,20.60746147855565,True,10.267994540454852,"Continuous center-ray speed cap 0.2m/s on straight raster chords, endpoint tube allowance 1mm/cos10deg; ignores transitions and acceleration.",12.471204922998727,8.136256555556923,0.0,0.0,0.0,Nonexclusive occupancy of local constraints; not a global time derivative,0.9669316316916567,0.00011799178278698585,0.0008911631305663732
panda_cylinder_p0_v,panda,cylinder,B1,20.489939057271176,True,10.267994540454852,"Continuous center-ray speed cap 0.2m/s on straight raster chords, endpoint tube allowance 1mm/cos10deg; ignores transitions and acceleration.",12.384804896394774,8.105134160876402,0.0,0.0,0.0,Nonexclusive occupancy of local constraints; not a global time derivative,0.9666797332659363,0.00010220894272697234,0.0008924791294271918
panda_cylinder_p0_v,panda,cylinder,B2,20.489939057271176,True,10.267994540454852,"Continuous center-ray speed cap 0.2m/s on straight raster chords, endpoint tube allowance 1mm/cos10deg; ignores transitions and acceleration.",12.384804896394774,8.105134160876402,0.0,0.0,0.0,Nonexclusive occupancy of local constraints; not a global time derivative,0.9666797332659363,0.00010220894272697234,0.0008924791294271918
panda_cylinder_p0_v,panda,cylinder,G,20.489939057271176,True,10.267994540454852,"Continuous center-ray speed cap 0.2m/s on straight raster chords, endpoint tube allowance 1mm/cos10deg; ignores transitions and acceleration.",12.384804896394774,8.105134160876402,0.0,0.0,0.0,Nonexclusive occupancy of local constraints; not a global time derivative,0.9666797332659363,0.00010220894272697234,0.0008924791294271918
panda_plane_p0_u,panda,plane,B0,16.897499564919215,True,10.708611604930281,"Continuous center-ray speed cap 0.2m/s on straight raster chords, endpoint tube allowance 1mm/cos10deg; ignores transitions and acceleration.",13.111258350479101,3.786241214440113,0.5131190779981852,0.0,0.002279943134007981,Nonexclusive occupancy of local constraints; not a global time derivative,0.9838092457943731,0.00016447279137264854,0.0009498999166806055
panda_plane_p0_u,panda,plane,B1,15.95746675663842,False,10.708611604930281,"Continuous center-ray speed cap 0.2m/s on straight raster chords, endpoint tube allowance 1mm/cos10deg; ignores transitions and acceleration.",12.249111306841675,3.708355449796745,0.565076884241583,0.0,0.1098405767505779,Nonexclusive occupancy of local constraints; not a global time derivative,1.0220996079356677,0.00013432796542456327,0.0009682976875163671
panda_plane_p0_u,panda,plane,B2,15.95746675663842,False,10.708611604930281,"Continuous center-ray speed cap 0.2m/s on straight raster chords, endpoint tube allowance 1mm/cos10deg; ignores transitions and acceleration.",12.249111306841675,3.708355449796745,0.565076884241583,0.0,0.1098405767505779,Nonexclusive occupancy of local constraints; not a global time derivative,1.0220996079356677,0.00013432796542456327,0.0009682976875163671
panda_plane_p0_u,panda,plane,G,15.95746675663842,False,10.708611604930281,"Continuous center-ray speed cap 0.2m/s on straight raster chords, endpoint tube allowance 1mm/cos10deg; ignores transitions and acceleration.",12.249111306841675,3.708355449796745,0.565076884241583,0.0,0.1098405767505779,Nonexclusive occupancy of local constraints; not a global time derivative,1.0220996079356677,0.00013432796542456327,0.0009682976875163671
panda_plane_p0_v,panda,plane,B0,17.093424865695106,True,10.267994540454852,"Continuous center-ray speed cap 0.2m/s on straight raster chords, endpoint tube allowance 1mm/cos10deg; ignores transitions and acceleration.",11.798993619223522,5.294431246471584,0.0,0.0,0.006120733691757192,Nonexclusive occupancy of local constraints; not a global time derivative,0.9620065970000174,0.00011423584067879466,0.0009329015449942473
panda_plane_p0_v,panda,plane,B1,16.922908875039717,True,10.267994540454852,"Continuous center-ray speed cap 0.2m/s on straight raster chords, endpoint tube allowance 1mm/cos10deg; ignores transitions and acceleration.",11.666974275101534,5.255934599938182,0.0,0.0,0.006191773239402422,Nonexclusive occupancy of local constraints; not a global time derivative,0.9620562983355108,9.80487723176715e-05,0.0009303388830520554
