slot,method,s,dt_s,scan,sample_utilization,speed_utilization,acceleration_utilization
panda_cylinder_p0_v,B0,0.000625,0.14128677975145448,True,0.16327188476096338,0.14477924361790753,0.7626437288697381
panda_cylinder_p0_v,B0,0.001875,0.05771024634050387,True,0.2867557198503275,0.24670124034211843,0.7606201353640312
panda_cylinder_p0_v,B0,0.003125,0.043274229295660244,True,0.3778457151349732,0.31525656397952684,0.7585370438245893
panda_cylinder_p0_v,B0,0.004375,0.035626560379792366,True,0.4568911545792032,0.36955817605717267,0.7564019342544727
panda_cylinder_p0_v,B0,0.005625,0.030641117926273387,True,0.5298037642040924,0.4152808054741613,0.7542244840244852
panda_cylinder_p0_v,B0,0.006875,0.027036122036773413,True,0.5992934112700077,0.4550591758331087,0.7520169196697097
panda_cylinder_p0_v,B0,0.008125,0.024260065367919303,True,0.6668806550590666,0.49038075800714015,0.7497944017546468
panda_cylinder_p0_v,B0,0.009375000000000001,0.02203006873704849,True,0.7335274142474915,0.5221876067939877,0.7475754400024016
panda_cylinder_p0_v,B0,0.010624999999999999,0.02021174082933125,True,0.7987391924607721,0.5503293775853748,0.7522143950032039
panda_cylinder_p0_v,B0,0.011875,0.0188902783787237,True,0.8537345194839071,0.5691767912578347,0.7672372732190531
panda_cylinder_p0_v,B0,0.013125000000000001,0.018192940972171,True,0.8857900538304504,0.5713200355402517,0.6529327708568
panda_cylinder_p0_v,B0,0.014374999999999999,0.018002750586983862,True,0.89484143719939,0.5582866236064481,0.6625567679630127
panda_cylinder_p0_v,B0,0.015625,0.017999906568334723,True,0.8948428338130378,0.5399841621070472,0.6389068761552781
panda_cylinder_p0_v,B0,0.016875,0.017999202564035588,True,0.8948442808488287,0.5222638540715907,0.6149426038731047
panda_cylinder_p0_v,B0,0.018125000000000002,0.018000405712809142,True,0.8948457583254662,0.5051386217237562,0.5907287906208509
panda_cylinder_p0_v,B0,0.019375,0.01800327957086345,True,0.8948472480375819,0.4886202046315973,0.5663268665190518
panda_cylinder_p0_v,B0,0.020625,0.018007586530163766,True,0.8948487334584347,0.4727191467583042,0.5417940351633859
panda_cylinder_p0_v,B0,0.021875,0.01801309003322893,True,0.8948501996482447,0.4574448074034764,0.5171826403828773
panda_cylinder_p0_v,B0,0.023125,0.018019556607669962,True,0.8948516331652334,0.4428053919958861,0.49253970037504824
panda_cylinder_p0_v,B0,0.024375,0.01802675773893314,True,0.8948530219772421,0.42880799906636397,0.4679065927112217
panda_cylinder_p0_v,B0,0.025625000000000002,0.018034471595855472,True,0.8948543553724568,0.41545868006753506,0.4433188738746117
panda_cylinder_p0_v,B0,0.026875,0.01804248462061242,True,0.8948556238683903,0.4027625090211377,0.41880621735264734
panda_cylinder_p0_v,B0,0.028125,0.01805059299228562,True,0.8948568191188968,0.3907236592674196,0.3943924548665285
panda_cylinder_p0_v,B0,0.029375,0.018058603971518927,True,0.8948579338194032,0.37934548486706415,0.37009570608486053
panda_cylinder_p0_v,B0,0.030625,0.01806633713243444,True,0.8948589616110068,0.3686306044656331,0.3465677889864374
panda_cylinder_p0_v,B0,0.031875,0.01807362548708069,True,0.8948598969843284,0.3585809856741155,0.32505668453483866
panda_cylinder_p0_v,B0,0.033125,0.018080316507071315,True,0.8948607351842415,0.3491980282468738,0.3035902285721184
panda_cylinder_p0_v,B0,0.034375,0.018086273046692303,True,0.8948614721167406,0.340482644549701,0.28217736034960206
panda_cylinder_p0_v,B0,0.035625000000000004,0.018091374171537944,True,0.8948621042592247,0.341889762282252,0.2608234516647044
panda_cylinder_p0_v,B0,0.036875,0.018095515896628722,True,0.8948626285755392,0.3474394887716576,0.23953061723861208
