input_id,robot,q,e,full_direction,isotropic_direction,direction_difference_norm,full_gd,full_dHd,isotropic_gd,isotropic_dHd,initial_phi,full_phi_after_adopted_step,isotropic_phi_after_adopted_step,full_alpha,isotropic_alpha,full_accept_fraction,isotropic_accept_fraction
016894bfe7220eb5304b71d9dc330e9a2a7872794dd09c7fb3f449f4be61911d,panda,"[-0.4204036654871291,-0.1352875078561473,-0.7479184101818351,-1.7565675086908759,2.897299999999,1.9090280224781317,-0.8487365263350845]","[-6.630636683514685,-2.2795164881903585,-0.42162645287313616,1.567084854414093,-1.9328715590962198,-0.753399531659365]","[0.9223019617141126,-0.19218755575747545,-0.999999999999001,-0.03291526183519341,0.0,0.10046470934454073,0.018777902552528515]","[0.8950001432575322,-0.21794289601452496,-0.9999999999990011,-0.04050162520839385,0.0,0.15452401027112525,0.0553139838252687]",0.07565429930586896,-38.56036352746908,38.39983967201165,-45.22293183431523,44.83019440801375,19.425269315171068,0.03901776850161446,0.0089394170415023,1.0,1.0,1.0,0.0
01b3d371907cb3f346fff18bae595c23d7574141a7c95d86ab1006bcd4e9fabe,panda,"[-0.6837699193342475,-0.07906657026631123,-1.3239165977778464,-1.6264612037172872,0.9079126971296397,1.5360357771657518,-0.25056065420164264]","[-25.049092568467795,2.674621700215707,-6.46686390363127,0.7794238836845193,-0.07800157054658764,-4.584013252534824]","[-0.6826233698994202,0.999999999999,-0.9999999999989987,0.06146556634338732,0.7322116162794616,-0.41396986055526963,-0.5861801419755497]","[-0.7087254582238895,0.999999999999,-0.9999999999989987,0.04355713680951187,0.7257899244068977,-0.329073454149671,-0.4713970508289437]",0.14637563603116802,-632.7738608182738,629.4137084298509,-663.1976877388937,660.6387799063074,319.37014963610295,1.0651396102910085,0.3433011204084674,1.0,1.0,0.0,0.0
051833cbe006de8ff0b74c24491dc92760ae8fa05993116db6211ab7fa33682b,ur5e,"[-2.144713396243686,1.477041427917039,0.09407089253077763,1.2010012394620266,0.687702250164157,2.2826365718616555]","[-8.955310980418712,-16.324726706301487,-0.26871475719225657,-4.652594283377068,1.2272510400763825,5.215316052643526]","[0.9999999999990026,-0.6903577989857866,0.20630249539516776,-0.02494667181024024,-0.6047603076718,-0.05969925628530043]","[0.9999999999990026,-0.7432761440369196,0.26519196609673024,-0.04070228594744696,-0.5537706113085654,-0.14840110221681152]",0.13032469829688417,-340.3170388523047,339.82502372559605,-362.15939212043247,361.6071266459574,173.84182295204474,0.7802980546413434,0.25029770628840836,1.0,1.0,0.0,0.0
09356f4513b62701731efafd2203596a897cfefe0acf13426c5f18d02b61686e,panda,"[-0.39112216304394704,-0.03840120900721368,-1.3454438875584427,-1.6100820014157062,0.4287949964210716,2.1041976082850753,1.4491280856276971]","[-17.31879073713685,-1.096121158477792,-2.8236900658314967,0.3372572769377755,-4.361096885093671,-5.782695618021614]","[0.0010714224321966004,0.5599313095019572,-0.9999999999989986,0.004839760498624404,0.9999999999990004,0.06182220135416239,0.009696640456667988]","[-0.009913533247628614,0.5268704063523069,-0.9999999999989987,-0.0299965405356344,0.9999999999990004,0.12924644364682142,0.14417259977167718]",0.1582942592785316,-310.9772383517585,308.96398934593475,-333.22015644713326,330.92201240095346,157.0115104003818,0.3960050110953087,0.10584696349523603,1.0,1.0,0.0,0.0
0d2f0b8c4906d449cde87c2f3b3eb6368cf63ec256a2ba134f1429a0a8661022,panda,"[-0.14748867990986606,0.0002322390439027731,0.9595125320657906,-1.8786957210673223,-0.9176265708151216,2.1313778451543595,2.897299999999]","[-3.854406679222655,4.539658984035244,4.28986326460068,-0.6974231920901015,-1.8589983539818982,-0.23986278422425814]","[0.14496214824470602,0.010154008031774277,0.1194981354315475,0.21141695244008157,-0.09771120648280285,-0.278775327611586,0.0]","[0.1760626243301916,0.00462147381488659,0.13131267528344573,0.23532472900198056,-0.19173945801059894,-0.32245485327858936,0.0]",0.11161642678172223,-41.028998652181436,41.028998652181436,-47.93181268673705,47.93181268673705,20.594425871755348,0.037354476093575575,0.0010348559596331719,1.0,1.0,1.0,1.0
0fadcee75ebee19eeaf8f75e6cb4051343a5b42ad78fcbf01575d902138cfeb5,panda,"[-0.7014150930636276,-0.07284233509058799,-1.3125249115997346,-1.624675018854845,0.9159465044365859,1.5286422294208561,-0.2543022905708798]","[-24.69032155394765,2.3212870409259345,-6.934071869122316,0.8993710436708342,0.14727541784898704,-4.756690504090387]","[-0.652672037281812,0.999999999999,-0.9999999999989987,0.05430495239675989,0.6958374987640377,-0.3803951574481579,-0.5563912897751372]","[-0.6768199658066927,0.999999999999,-0.9999999999989987,0.03756934155468289,0.6799574641940592,-0.2947619532712984,-0.4442898304897515]",0.14496607000175107,-621.896673307364,618.6721396727474,-652.1384270355244,649.7069994447344,313.67563154112713,0.9466351091694404,0.26853680366303834,1.0,1.0,0.0,0.0
10fa3fce33e1e01e44e4352b9ece7fac8d666b9b0ae0006cd95a27e4ae80f955,panda,"[-0.6837699193327994,-0.07906657026698163,-1.3239165977787724,-1.626461203717411,0.9079126971290065,1.5360357771662836,-0.25056065420135704]","[-25.04909256847035,2.674621700210822,-6.466863903630715,0.7794238836875848,-0.07800157054767795,-4.584013252529913]","[-0.6826233698995037,0.999999999999,-0.9999999999989987,0.06146556634237238,0.7322116162799502,-0.41396986055399476,-0.5861801419764406]","[-0.7087254582239615,0.999999999999,-0.9999999999989987,0.04355713680849768,0.7257899244073427,-0.32907345414831923,-0.4713970508294715]",0.14637563603149714,-632.7738608182716,629.4137084298308,-663.1976877388962,660.6387799062895,319.3701496361327,1.0651396103037343,0.3433011204177562,1.0,1.0,0.0,0.0
12c8309cfc40ab3f04aa67bfde8845b4ac42a2b7671ea5e61b1a7471afc4c358,panda,"[1.7805974990328421,-0.31649377327690187,1.5796923647602377,-1.4328204328166008,0.31912765313151314,2.0044320761965237,1.107080598488013]","[-9.071592551945784,10.160975260176896,0.41116452981881935,-2.1942730574806353,-0.4574825836525945,-1.901842919468614]","[-0.9999999999989987,0.573212724447464,0.9999999999989986,0.12171754887418962,-0.336155578350245,0.2603918751978672,0.18011243063415333]","[-0.9999999999989987,0.6161027470336398,0.9999999999989987,0.08409135676184906,-0.3074724821940929,0.32825843758197104,0.30106523486950487]",0.1526874438768664,-160.3999350657473,158.2613944169211,-173.85470831954228,171.06456691141543,81.6076509716707,0.28608105925519545,0.042990265331831944,1.0,1.0,1.0,0.0
1339de0a2b7e0c7fe442d1cc16653ecd1e53cb39b6001175c3ee189d588f0123,panda,"[-0.9217342844750744,-1.7627999999989998,0.8390549108069338,-0.3132710237018131,-0.983984739548748,1.1179929650810168,-0.7110107329121282]","[1.860921457048026,1.391078619791486,-3.461619516766823,-0.14209849123117263,-0.6478410809209705,-0.4186104869753123]","[-0.10358274180066285,0.0,0.09253043562053309,0.19137132988165254,0.00653565174309982,-0.024020091556777114,0.0]","[-0.1362660665082328,0.0,0.12172644086186622,0.2517544709861606,0.008597837241276303,-0.03159911908784913,0.0]",0.0750228260797004,-10.04228857417762,10.04228857417762,-13.210918527050003,13.210918527050001,5.021426982965645,0.01264865201860487,0.06169942962034259,1.0,1.0,1.0,1.0
155366d9e36c3f00bb36d11c0390273736b0dcdcef6bce568f7f9c1042a2ae95,panda,"[-2.2850285660354865,0.08489562763703598,1.0221396268930005,-0.5384835409351374,2.897299999999,2.3830778471416747,1.6249057768857569]","[-2.8220904990133717,-1.5118674518965203,-1.6780729878542733,0.36373247813986115,-0.8507572885915807,-0.3941779237469595]","[-0.8597112328946712,-0.20611281886899113,0.32219255820010745,-0.14647842257768098,0.0,0.5273518450868325,0.3956640529007957]","[-0.9999999999990037,-0.19371183990501264,0.4846319683312217,-0.06834641244505239,0.0,0.8487846728101983,0.3038700291528105]",0.4050569107670091,-6.736371361694303,6.736371361694309,-9.26403120492911,9.26217033514954,3.4182785893327834,3.391822494489704,1.4528163792902569,1.0,0.5,1.0,1.0
2377abf039b320ecbf2e642f1611dc1077ccf851439e8f61cddae7c22bda8d5b,panda,"[0.14941817668528212,0.03194751105390615,-1.8844665215679837,-1.0554267365863839,-0.22754390948063577,3.4062715537092743,0.4165444710163142]","[-6.590017179409557,-1.908210612983352,0.4719782992834709,-0.9259589519205556,-0.996181418615348,-1.8866457132621022]","[-0.80177912050216,-0.15501793766710176,0.9999999999989987,0.0029834107490976577,0.7656309124715983,-0.07915576198083736,-0.9999999999990005]","[-0.9550475632495026,-0.07731474979149969,0.9999999999989987,-0.03379621512751814,0.8769299899219362,-0.09171418808605358,-0.9999999999990005]",0.20839131588285253,-35.07251625457774,34.759060145532075,-41.07567244121894,40.628538103543036,18.1480761264592,0.24064794801219963,0.11694692346412708,1.0,1.0,0.0,0.0
